http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&bulkSetSize=2000&refinements%3D4291944822%2C4291944246%26ranges%3D2009_2016_p_Publication_Year%26matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28.QT.Intrusion+Detection+System.QT.%29,10/26/2015 18:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,,
Large-Scale Coordinated attacks: Impact on the Cloud Security,"Riquet, D.; Grimaud, G.; Hauspie, M.","L.I.F.L., Univ. de Lille 1, Villeneuve d''Ascq, France","Innovative Mobile and Internet Services in Ubiquitous Computing (IMIS), 2012 Sixth International Conference on",20120910,2012,,,558,563,"Cloud Computing has emerged as a model to process large volumetric data. Though Cloud Computing is very popular, cloud security could delay its adoption. Security of the cloud must provide data confidentiality and protection of resources. Such architecture seems to be vulnerable when confronted to distributed attacks also known as large-scale coordinated attacks. In this paper, we study the impact of large-scale coordinated attacks on Cloud Computing and its current security solutions. We experiment the open-source IDS Snort and a commercialized firewall using distributed port scan. Our results show that these security solutions are not designed to detect distributed attacks. Indeed, an attacker who controls about 32 hosts can easily achieve a distributed port scan without being detected.",,978-1-4673-1328-5,,10.1109/IMIS.2012.76,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6296915,Cloud Computing;Distributed attacks;Firewall;Intrusion Detection System;Portscan;Security,Cloud computing;Computer architecture;Intrusion detection;Radiation detectors;Timing,authorisation;cloud computing;public domain software,cloud computing;cloud security;commercialized firewall;data confidentiality;distributed port scan;large-scale coordinated attacks;open-source IDS Snort;protection of resources;volumetric data,,4,,12,,,4-6 July 2012,,IEEE,IEEE Conference Publications,,
A new model of IDS architecture based on multi-agent systems for MANET,"Chadli, S.; Saber, M.; Emharraf, M.; Ziyyat, A.","Lab. Electron. & Syst., Mohammed First Univ., Oujda, Morocco","Complex Systems (WCCS), 2014 Second World Conference on",20150316,2014,,,252,258,"Mobile Ad Hoc Networks (MANETs) are susceptible to a variety of attacks that threaten their operation and the provided services. Intrusion Detection Systems (IDSs) may act as defensive mechanisms, since they monitor network activities in order to detect malicious actions performed by intruders, and then initiate the appropriate countermeasures. IDS for MANETs have attracted much attention recently and thus, there are many publications that propose new IDS solutions or improvements to the existing. In this paper, we study the different architectures existing the IDS for MANETs. We briefly present for each architecture, after an analysis, the strengths and weaknesses, the methods/techniques that have been proposed to improve the performances and the provided security services. Then, we propose a new IDS architecture for MANET, this architecture is a combination of model hierarchical based on clusters and cooperation model based on a multi-agent system (SMA). In this architecture, agents use a knowledge base related to a global security ontology, it can be used to infer new detection rules.",,978-1-4799-4648-8,,10.1109/ICoCS.2014.7060919,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7060919,IDS architectures;Intrusion Detection System(IDS);MANETs security;Mobile ad hoc networks(MANETs);Multi-Agent System (SMA);Security attacks;Security vulnerabilities,Accuracy;Analytical models;Computer architecture;Engines;Mobile ad hoc networks;Mobile computing,mobile ad hoc networks;multi-agent systems;software architecture;telecommunication computing;telecommunication security,IDS architecture;MANET;SMA;global security ontology;intrusion detection systems;knowledge base agents;malicious action detection;mobile ad hoc networks;multiagent systems;security services,,0,,26,,,10-12 Nov. 2014,,IEEE,IEEE Conference Publications,,
Exploring and Enhancing the Performance of Parallel IDS on Multi-core Processors,"Jiang, Haiyang; Jianhua Yang; Gaogang Xie",,"Trust, Security and Privacy in Computing and Communications (TrustCom), 2011 IEEE 10th International Conference on",20120102,2011,,,673,680,"With the advancement of multi-core processor, it is highly desired to use parallel design to improve the IDS throughput in nowadays. However, existing parallel schemes often fail to achieve linear speedup in IDS. The throughput even deteriorates severely for some network traffics. Hence, exploring and addressing the problems have become one of the most urgent issues in parallel IDS. In this work, an IDS model adopting software pipeline is developed as the test bed of parallel performance evaluation. The contribution of this paper is two-fold. First, we explore the performance of parallel IDS through substantive experiments and quantitative analyses. We find Heavy Rule Fingerprint (HRF) in the pre-filter, which has not been mentioned in previous papers as we know, causes severe performance deterioration mentioned in existing studies. The experiments illustrate that the time consumption on HRF in parallel system is at least 6-7 times longer than that in normal system. Second, we propose a new fingerprint extraction strategy to deal with HRF. Experimental results show that the throughput deterioration is resolved completely and the throughput is enhanced by 45% by integrating our proposed method into the test bed and with making use of DARPA evaluation dataset.",,978-1-4577-2135-9,,10.1109/TrustCom.2011.86,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6120879,Intrusion Detection System;Snort;multi-core;pre-fliter;software pipeline,,,,,0,,20,,,16-18 Nov. 2011,,IEEE,IEEE Conference Publications,,
A game-theoretical model for intrusion detection in wireless sensor networks,"Estiri, M.; Khademzadeh, A.","South Tehran Branch, Islamic Azad Univ., Tehran, Iran","Electrical and Computer Engineering (CCECE), 2010 23rd Canadian Conference on",20100916,2010,,,1,5,"In this paper, we propose a game-theoretical based method to fortify an intrusion detection system (IDS) in Wireless Sensor Networks (WSNs). And we focus on dropping-packet attacks which are the sore point in wireless sensor networks. We claim that of course our model is not only a detective model but also a correctional model. because first we corner malicious nodes and then we give them incentives to mend their ways and try to behave in favor of other nodes in WSN. We formulate the attack-defense problem as a non-cooperative, two-player, non-zero-sum game between an attacker and a WSN. We propose a repeated game model of dropping packets which is attack-proof against DPA based on such an assumption that sensor nodes are rational. The model prevents malicious nodes from attacking by establishing subgame perfect periodic collusion-resistant punishment mechanism, and impels sensor networks to reach a cooperative Nash equilibrium. So, it leads to a defense strategy for the network. And when the malicious nodes populate less than the majority of network we show that our model is partially collusion resistant. And even we try to use the sporadic well-mannered cooperative behavior of the malicious node in favor of improving overall throughput of our WSN. Based on rationality we believe that even malicious nodes before being known as extreme notorious nodes, they try to impersonate their true type and show a little collaborative behavior.",0840-7789,978-1-4244-5376-4,978-1-4244-5377-1,10.1109/CCECE.2010.5575157,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5575157,Nash equilibrium;Subgame perfect equilibrium;WSN — Intrusion detection system (IDS);attack-resistant mechanism;repeated game,Games;Intrusion detection;Mathematical model;Mobile ad hoc networks;Nash equilibrium;Wireless sensor networks,game theory;telecommunication security;wireless sensor networks,attack-defense problem;cooperative Nash equilibrium;dropping-packet attacks;game-theoretical model;intrusion detection system;wireless sensor networks,,1,,23,,,2-5 May 2010,,IEEE,IEEE Conference Publications,,
Automatic attack signature generation systems: A review,"Kaur, S.; Singh, M.","Thapar Univ. Patiala, Patiala, India","Security & Privacy, IEEE",20131212,2013,11,6,54,61,"Signature-based intrusion detection systems provide solutions to counter the increasing number of attacks on network resources. But this is not helpful for novel attacks whose signatures aren't available. Automated signature generation systems can work proactively to detect these attacks in real time and generate signatures of new attacks. This article analyzes the latest developments, including Honeycyber, Hancock, Arbor, Auto-Sign, Argos, Hamsa, F-Sign, and a hybrid honeyfarm-based defense system, comparing these systems on the basis of their ability to detect novel attacks, signature generation method, suitability for multiple instances of worms, type of signature generated, attacks and worms covered, false alarm rates, and relative strengths and weaknesses.",1540-7993,,,10.1109/MSP.2013.51,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6515481,0-day attack;intrusion detection system;signature generation,Handwriting recognition;Intrusion detection;Signature generation,digital signatures,automated signature generation systems;automatic attack signature generation systems;network resources;signature based intrusion detection systems,,1,,12,,5/13/2013,Nov.-Dec. 2013,,IEEE,IEEE Journals & Magazines,,
A theoretical signaling game model for intrusion detection in wireless sensor networks,"Estiri, M.; Khademzadeh, A.","Islamic A zad Univ.(South Tehran Branch), Tehran, Iran","Telecommunications Network Strategy and Planning Symposium (NETWORKS), 2010 14th International",20101109,2010,,,1,6,"In this paper, we address a method for an intrusion detection system (IDS) in wireless sensor networks (WSNs). The type of the attack that we address in this paper focuses on dropping packets attacks (DPA) in WSNs and we focus on the design of security enforcement mechanisms for preventing attacks as well. we present a signaling game-theoretic model to analyze intrusion detection in wireless sensor networks. We use a signaling game to model the interactions among nodes of a wireless sensor network. We view the interaction between an attacker and an individual node as a Bayesian game with incomplete information, and construct models for such a game. We prove the authenticity of the proposed model by reaching Nash equilibrium. And achieving Nash equilibrium leads to the defense strategy for the WSN.",,978-1-4244-6704-4,978-1-4244-6705-1,10.1109/NETWKS.2010.5624961,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5624961,Bayesian game;Intrusion detection system (IDS);Nash equilibrium;Signaling game;Subgame perfect equilibrium;Wireless sensor network,Bayesian methods;Games;Intrusion detection;Monitoring;Nash equilibrium;Wireless sensor networks,Bayes methods;authorisation;game theory;telecommunication signalling;wireless sensor networks,Bayesian game;Nash equilibrium;authenticity;dropping packets attacks;intrusion detection system;security enforcement;signaling game-theoretic model;wireless sensor networks,,0,,23,,,27-30 Sept. 2010,,IEEE,IEEE Conference Publications,,
A signature exchange model for heterogeneous intrusion detection systems,Dwen-Ren Tsai; Chien-Ning Huang,"Dept. of Comput. Sci., Chinese Culture Univ., Taipei, Taiwan","Security Technology, 2009. 43rd Annual 2009 International Carnahan Conference on",20091113,2009,,,253,256,"In this paper, we propose an UML-based generic format set of intrusion signatures for heterogeneous intrusion detecting systems (IDSs) via analyzing signature formats of three popular IDS products. We also propose an attack signature exchange model of heterogeneous IDSs. With this model, an attack signature generated by one IDS could be adopted by different IDSs easily. The proposed XML-based generic signature format set is designed to be extensible, and therefore it should be easy to incorporate new features in the future. When a software vendor releases its software patch packages together with the signatures addressing the potential attacks, the signatures detected can be easily and promptly included into IDSs reported from different vendors using this model.",,978-1-4244-4169-3,978-1-4244-4170-9,10.1109/CCST.2009.5335528,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5335528,Extensible Markup Language (XML);Intrusion Detection System (IDS);Network Security;attack signature,Computer science;Data analysis;Databases;Face detection;IP networks;Information management;Intrusion detection;Packaging;Software packages;XML,Unified Modeling Language;XML;digital signatures;security of data;software maintenance;software packages,UML-based generic format set;XML-based generic signature;heterogeneous intrusion detection system;software patch package;software vendor;unified modeling language,,0,,9,,,5-8 Oct. 2009,,IEEE,IEEE Conference Publications,,
A New Packet Filter Schema Based on Multi-level Signature Hash and DFA Grouping,Wang Yumeng; Wang Yuping; Xue Xingsi; Zhang Chen; Huo Yuanliang,"Sch. of Comput. Sci. & Technol., Xidian Univ., Xi'an, China","Computational Intelligence and Security (CIS), 2014 Tenth International Conference on",20150122,2014,,,608,614,"Packet filter system based on high speed match engine of REGular EXPressions (REGEXP) plays an important role in domain of Intrusion Detection System (IDS), Deep Packet Inspection (DPI) system, network security and traffic monitoring, etc. However, the existing filter schemas suffer from several deficiencies in matching speed and memory footprint, such as traditional DFA matching, single-level signature hash and DFA grouping. To overcome these shortcomings, in this paper, a new packet filter schema based on multilevel signature and DFA grouping is proposed. In particular, an algorithm called ""DFA pseudo-split"" is presented in our proposal to overcome the shortage of signatures. The experimental results show that our proposal significantly outperforms the traditional filter schemas.",,978-1-4799-7433-7,,10.1109/CIS.2014.130,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7016968,DFA signature;Deep Packet Inspection;Intrusion Detection System;Packet Filter System,Algorithm design and analysis;Educational institutions;Filtering algorithms;Hardware;Inspection;Security;Silicon,cryptography;telecommunication security;telecommunication traffic,DFA grouping;DFA matching;DFA pseudosplit;REGEXP;REGular EXPressions;deep packet inspection system;high speed match engine;intrusion detection system;matching speed;memory footprint;multilevel signature hash;network security;packet filter schema;single-level signature hash;traffic monitoring,,0,,14,,,15-16 Nov. 2014,,IEEE,IEEE Conference Publications,,
Data hibernation framework in workflows under intrusion threat,"Safdar, S.; Hassan, M.F.; Qureshi, M.A.; Akbar, R.","Dept. of Comput. & Inf. Sci., Univ. Teknol. PETRONAS, Tronoh, Malaysia","Computers & Informatics (ISCI), 2011 IEEE Symposium on",20110721,2011,,,680,685,"The main objective of the research is to define and propose a framework for data hibernation in the workflows under intrusion threat. When the intrusion is detected, the data services need to be discontinued immediately to retain the security and the integrity of the valuable data, till the system is recovered from the threat. By discontinuing data services, the end users may face inconveniences in using the system because of its temporary unavailability. Data hibernation addresses a mechanism of secure transferring of data and providing an access of the data alternatively keeping the data integrity intact. Data hibernation involves three steps i.e. designing an alternate schema for storing data, transferring data to that alternate storage and providing an access to that data. Hence the system can continue to provide data services securely to the end user even in the threat situations.",,978-1-61284-689-7,,10.1109/ISCI.2011.5958998,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5958998,Data Hibernation;Dimensions;IDS (Intrusion Detection System);System Availability,Availability;Data mining;Data models;Databases;Intrusion detection,security of data,Data hibernation framework;data services;intrusion threat,,0,,23,,,20-23 March 2011,,IEEE,IEEE Conference Publications,,
A Novel Framework of Dynamic Learning Based Intrusion Detection Approach in MANET,"Shirbhate, S.V.; Sherekar, S.S.; Thakare, V.M.",,"Computing Communication Control and Automation (ICCUBEA), 2015 International Conference on",20150716,2015,,,209,213,"With the growth of security and surveillance system, a huge amount of audit or network data is being generated. It is immense challenge for researcher to protect the mobile ad hoc network from the malicious node as topology of the network dynamically changes. A malicious node can easily inject false routes into the network. A traditional method to detect such malicious nodes is to establish a base profile of normal network behavior and then identify a node's behavior to be anomalous if it deviates from the established profile. As the topology of a MANET constantly changes over time, the simple use of a static base profile is not efficient. In this paper, a novel framework is proposed to detect the malicious node in MANET. In proposed method k-means clustering-based anomaly detection approach is used in which the profile is dynamically updated. The approach consists of three main phases: training, testing and updating. In training phase, the K-means clustering algorithm is used in order to establish a normal profile. In testing phase, check whether the current traffic of the node is normal or anomalous. If it is normal then update the normal profile otherwise isolate the malicious node and ignore that node from the network. To update the normal profile periodically, weighted coefficients and a forgetting equation is used.",,,,10.1109/ICCUBEA.2015.46,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7155836,Dynamic Intrusion Detection System;K-means clustering;MANET,Heuristic algorithms;Intrusion detection;Mobile ad hoc networks;Network topology;Routing;Testing;Training,mobile ad hoc networks;telecommunication security,MANET;anomaly detection approach;dynamic learning;intrusion detection approach;k-means clustering;malicious nodes;mobile ad hoc network;network data;novel framework;security system;static base profile;surveillance system;topology node,,0,,16,,,26-27 Feb. 2015,,IEEE,IEEE Conference Publications,,
Efficient anomaly detection and mitigation in software defined networking environment,"Sathya, R.; Thangarajan, R.","Dept. of CSE, Kongu Eng. Coll., Erode, India","Electronics and Communication Systems (ICECS), 2015 2nd International Conference on",20150618,2015,,,479,484,"A Computer network or data communication network is a telecommunication network that allows computers to exchange data. Computer networks are typically built from a large number of network devices such as routers, switches and numerous types of middle boxes with many complex protocols implemented on them. They need to accomplish very complex tasks with access to very limited tools. As a result, network management and performance tuning is quite challenging. Software-Defined Networking (SDN) is an emerging architecture purporting to be adaptable, cost-effective, dynamic and manageable pursuing to be suitable for the high-bandwidth, changing nature of today's applications. SDN architectures decouples network control and forwarding functions, making network control to become directly programmable and the underlying infrastructure to be abstracted from applications and network services. The network security is a prominent feature of the network ensuring accountability, confidentiality, integrity, and protection against many external and internal threats. An Intrusion Detection System (IDS) is a type of security software designed to automatically alert administrators when someone or something is trying to compromise information system through malicious activities or through security policy violations. Security violation in SDN environment needs to be identified to prevent the system from an attack. The proposed work aims to detect the attacks on SDN environment. Detecting anomalies on SDN environment will be more manageable and efficient.",,978-1-4799-7224-1,,10.1109/ECS.2015.7124952,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7124952,Entropy based detection;Feature Selection;Flow Table;Intrusion Detection System;Software Defined Networking,Classification algorithms;Computer architecture;Computer networks;Control systems;Entropy;Feature extraction;Protocols,computer network management;computer network security;software defined networking,IDS;SDN architectures;anomaly detection;anomaly mitigation;complex protocols;computer networks;data communication network;external threats;forwarding functions;internal threats;intrusion detection system;malicious activities;network accountability;network confidentiality;network control;network control functions;network devices;network integrity;network management;network performance tuning;network protection;network security;network services;security policy violations;security software;software defined networking environment;telecommunication network,,0,,15,,,26-27 Feb. 2015,,IEEE,IEEE Conference Publications,,
Application of Fuzzy Association Rules in Intrusion Detection,Kai Xing Wu; Juan Hao; Chunhua Wang,"Dept. of Inf. & Electron. Eng., Hebei Univ. of Eng., Handan, China","Internet Computing & Information Services (ICICIS), 2011 International Conference on",20111031,2011,,,269,272,"Intrusion detection system (IDS) is based on data mining technology in this paper. Association rule mining which is a method of data mining will make the boundaries of intervals hard. It will increase the information loss. In this paper, a novel framework based on data mining techniques is proposed for designing IDS. In this framework, the classification engine, which is actually the core of the IDS, uses fuzzy association rules for building classifiers. Particularly, the fuzzy association rule sets are exploited as descriptive models of different classes. Generally, the proposed approach outperforms other methods, especially in terms of false positive rate.",,978-1-4577-1561-7,,10.1109/ICICIS.2011.72,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6063248,association rules;data mining;fuzzy association rules;intrusion detection system,Association rules;Intrusion detection;Itemsets;Training,data mining;fuzzy set theory;pattern classification;security of data,association rule mining;classification engine;data mining;fuzzy association rule set;intrusion detection system,,0,,7,,,17-18 Sept. 2011,,IEEE,IEEE Conference Publications,,
"Emerging threats, risks and mitigation strategies in network forensics","Nehinbe, J.O.","Univ. of Essex, Colchester, UK","Electrical and Computer Engineering (CCECE), 2011 24th Canadian Conference on",20110929,2011,,,1228,1232,"Sophisticated intrusions are evolving everyday. Hence, requirements are changing towards computer systems that provide more robust solutions. However, new issues, bugs, threats and vulnerabilities are unavoidably introduced into the market each time a new product is designed to meet users' specifications. For these reasons, Vendors, research community, network forensics professionals and other users of Network Intrusion Detection Systems write tons of detection rules to maximally detect attacks. Despite these, numerous attacks still evade intrusion detectors because of insufficient evidence to expose the emerging threats and risks in the usage of intrusion detection technology. Thus, this paper presents a critical review of these problems. The review provides useful guidelines that can be used to enhance efficacy of intrusion detection system and to achieve high returns on investment.",0840-7789,978-1-4244-9788-1,978-1-4244-9787-4,10.1109/CCECE.2011.6030658,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6030658,Network intrusion detection System;Redundant attacks;failed attacks;information system auditor;network forensics;pattern matching,Computer networks;Computers;Conferences;Detectors;Forensics;Intrusion detection;Redundancy,computer forensics;computer network security,mitigation strategies;network forensics;network intrusion detection systems;risk strategies;threat strategies,,0,,18,,,8-11 May 2011,,IEEE,IEEE Conference Publications,,
Usage of data mining techniques for analyzing network intrusions,"Bilalovic, O.; Donko, D.","BH Telecom d.d. Sarajevo, Sarajevo, Bosnia-Herzegovina","Telecommunications (BIHTEL), 2014 X International Symposium on",20141218,2014,,,1,5,"This paper presents the results of the analysis of the network intrusion detection systems using data mining techniques and anomaly detection. Anomaly detection technique is present for a while in the area of data mining. Previous papers that implement data mining techniques to detect anomaly attacks actually use well-known techniques such as classification or clustering. Anomaly detection technique combines all these techniques. They are also facing problem on the fact that many of the attacks do not have some kind of signature on network and transport layer, so it is not easy to train models for these type of attacks. Network dataset that was used in this paper is DARPA 1998 dataset created in MIT Lincoln Laboratory and is used worldwide for the network testing purposes.",,978-1-4799-8038-3,,10.1109/BIHTEL.2014.6987631,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6987631,data mining;intrusion detection system;network anomalies,Algorithm design and analysis;Classification algorithms;Data mining;IP networks;Intrusion detection;Testing;Training,data mining;security of data,anomaly detection;data mining technique;network intrusion detection,,0,,14,,,27-29 Oct. 2014,,IEEE,IEEE Conference Publications,,
A Practical Network-Based Intrusion Detection and Prevention System,"Wattanapongsakorn, N.; Srakaew, S.; Wonghirunsombat, E.; Sribavonmongkol, C.; Junhom, T.; Jongsubsook, P.; Charnsripinyo, C.","Dept. of Comput. Eng., King Mongkut''s Univ. of Technol. Thonburi, Bangkok, Thailand","Trust, Security and Privacy in Computing and Communications (TrustCom), 2012 IEEE 11th International Conference on",20120906,2012,,,209,214,"While Internet and network technology have been growing rapidly, cyber attack incidents also increase accordingly. The increasing occurrence of network attacks is an important problem to network services. In this paper, we present a network based Intrusion Detection and Prevention System DPS), which can efficiently detect many well-known attack types and can immediately prevent the network system from network attacks. Our approach is simple and efficient and can be used with several machine learning algorithms. We actually implement the IDPS using different machine learning algorithms and test in an online network environment. The experimental results show that our IDPS can distinguish normal network activities from main attack types (Probe and Denial of Service) with high accuracy of detection rate in a few seconds and automatically prevent the victim's computer network from the attacks. In addition, we apply a well-known machine learning technique called C4.5 Decision Tree in our approach to consider unknown or new network attack types. Surprisingly, the supervised Decision Tree technique can work very well, when experiencing with untrained or unknown network attack types.",,978-1-4673-2172-3,,10.1109/TrustCom.2012.46,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6295977,IDS (Intrusion Detection System;IPS (Intrusion Prevention System);data mining;network security system;real-time detection,Computer crime;Decision trees;IP networks;Intrusion detection;Machine learning;Probes,decision trees;learning (artificial intelligence);security of data,C4.5 decision tree;IDPS;Internet;cyber attack incidents;denial of service;machine learning algorithms;network attack types;network services;network-based intrusion detection and prevention system;normal network activities;online network environment;probe;supervised decision tree technique,,2,,14,,,25-27 June 2012,,IEEE,IEEE Conference Publications,,
Vitality based feature selection for intrusion detection,"Jupriyadi; Kistijantoro, A.I.","Sch. of Electr. Eng. & Inf., Bandung Inst. of Technol., Bandung, Indonesia","Advanced Informatics: Concept, Theory and Application (ICAICTA), 2014 International Conference of",20150112,2014,,,93,96,"Intrusion detection system is the process to monitor network traffic to detect possible attacks. In recent time, network traffic increasing rapidly. There are plenty of research today focused on feature selection or reduction, as some of the features are irrelevant and degrade the performance of an intrusion detection system. By eliminating some of features, we can improve the performance of classification algorithm. In this paper, we evaluate the performance of feature selection methods, such as Correlation Based Feature Selection (CFS), Information Gain (IG), Gain Ratio (GR), Feature Vitality Based Reduction Method (FVBRM). We propose a modification to FVBRM by changing the parameter True Positives Rate (TPR) into False Positives Rate (FPR) and by applying Naïve Bayes classifier on reduced dataset to measure the result of our feature selection method. The results of modified FVBRM indicate that selected attributes provide better performance for intrusion detection system.",,978-1-4799-6984-5,,10.1109/ICAICTA.2014.7005921,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7005921,FVBRM;feature selection;intrusion detection system;network security,Artificial intelligence;Barium;Conferences;Informatics;Manganese,Bayes methods;feature selection;pattern classification;security of data,CFS;FPR;FVBRM;GR;IG;Naïve Bayes classifier;TPR;correlation based feature selection;false positives rate;feature vitality based reduction method;gain ratio;information gain;intrusion detection;true positives rate;vitality based feature selection,,0,,10,,,20-21 Aug. 2014,,IEEE,IEEE Conference Publications,,
Enterprise security perimeter — E-mail server protection,"Skabcovs, N.; Latkov, A.","Transp. & Telecommun. Inst., Riga, Latvia","Internet Communications (BCFIC Riga), 2011 Baltic Congress on Future",20110317,2011,,,54,57,"Nowadays, a problem of data protection is the main research object of numerous companies and scientists. Email gateway always will be one of the main components of security perimeter. It helps to protect the internal network from the large varieties of hacker's attacks such as phishing and social engineering. In our previous research we have developed concept and prototype of protection system. Now we bring it to live.",,978-1-4244-8511-6,,10.1109/BCFIC-RIGA.2011.5733237,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5733237,SPAM;e-mail server;gateway;intrusion detection system;intrusion prevention;messaging security,Expert systems;Probabilistic logic,electronic mail;network servers;security of data,data protection;e-mail server protection;email gateway;enterprise security perimeter;hacker attacks;phishing;social engineering,,0,,8,,,16-18 Feb. 2011,,IEEE,IEEE Conference Publications,,
Reducing Features of KDD CUP 1999 Dataset for Anomaly Detection Using Back Propagation Neural Network,"Shah, B.; Trivedi, B.H.","L.J. Inst. of Manage. Studies, Ahmedabad, India","Advanced Computing & Communication Technologies (ACCT), 2015 Fifth International Conference on",20150406,2015,,,247,251,"To detect and classify the anomaly in computer network, KDD CUP 1999 dataset is extensively used. This KDD CUP 1999 data set was generated by domain expert at MIT Lincon lab. To reduced number of features of this KDD CUP data set, various feature reduction techniques has been already used. These techniques reduce features from 41 into range of 10 to 22. Usage of such reduced dataset in machine learning algorithm leads to lower complexity, less processing time and high accuracy. Out of the various feature reduction technique available, one of them is Information Gain (IG) which has been already applied for the random forests classifier by Tesfahun et al. Tesfahun's approach reduces time and complexity of model and improves the detection rate for the minority classes in a considerable amount. This work investigates the effectiveness and the feasibility of Tesfahun et al.'s feature reduction technique on Back Propagation Neural Network classifier. We had performed various experiments on KDD CUP 1999 dataset and recorded Accuracy, Precision, Recall and Fscore values. In this work, we had done Basic, N-Fold Validation and Testing comparisons on reduced dataset with full feature dataset. Basic comparison clearly shows that the reduced dataset outer performs on size, time and complexity parameters. Experiments of N-Fold validation show that classifier that uses reduced dataset, have better generalization capacity. During the testing comparison, we found both the datasets are equally compatible. All the three comparisons clearly show that reduced dataset is better or is equally compatible, and does not have any drawback as compared to full dataset. Our experiments shows that usage of such reduced dataset in BPNN can lead to better model in terms of dataset size, complexity, processing time and generalization ability.",,978-1-4799-8487-9,,10.1109/ACCT.2015.131,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7079087,Back Propagation Neural Network;Feature Reduction;Intrusion Detection System;N Fold Validation,Accuracy;Complexity theory;Feature extraction;Intrusion detection;Power capacitors;Testing;Training,backpropagation;data handling;generalisation (artificial intelligence);neural nets,BPNN;Fscore values;IG;KDD CUP 1999 data set;KDD CUP 1999 dataset;MIT Lincon lab;anomaly detection;back propagation neural network classifier;complexity;computer network;dataset size;domain expert;feature reduction techniques;generalization ability;generalization capacity;information gain;machine learning algorithm;n-fold validation;reduced dataset,,0,,25,,,21-22 Feb. 2015,,IEEE,IEEE Conference Publications,,
Prediction of DoS attack sequences,"Reshamwala, A.; Mahajan, S.","Comput. Eng. Dept., SVKM''s NMIMS Univ., Mumbai, India","Communication, Information & Computing Technology (ICCICT), 2012 International Conference on",20121231,2012,,,1,5,"A denial of service attack (DOS) is any type of attack on a networking structure to disable a server from servicing its clients. Attacks range from sending millions of requests to a server in an attempt to slow it down, flooding a server with large packets of invalid data, to sending requests with an invalid or spoofed IP address. Sequential pattern mining is an important data mining problem with broad applications. Sequential Pattern Mining is to discover the frequent sequential pattern in the sequential event dataset. Intrusion detection using sequential pattern mining is a research focusing on the field of information security. In this paper, we have implemented Apriori a candidate generation algorithm and PrefixSpan a pattern growth algorithm on a network intrusion dataset from KDD Cup 1999, 10 percent of training dataset, which is the annual Data Mining and Knowledge Discovery competition organized by ACM Special Interest Group on Knowledge Discovery and Data Mining, the leading professional organization of data miners. To address the absence of timestamp in the dataset, we considered two approaches to generate the sequence database from the dataset. One is by taking service as reference attribute and the other one by taking a timestamp window of size one day (86400 seconds). We found that experimental results of PrefixSpan for predicting DoS attacks sequences on KDD cup 99 training dataset are efficient. These results are then compared with SPAM (Sequential Pattern Mining) algorithm which uses vertical bitmap data layout allowing for simple, efficient counting.",,978-1-4577-2077-2,,10.1109/ICCICT.2012.6398148,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6398148,Data mining;DoS attacks;fuzzy sets;intrusion detection system;sequence data;time interval,Algorithm design and analysis;Classification algorithms;Computer crime;Data mining;Databases;Prediction algorithms;Unsolicited electronic mail,computer network security;data mining;fuzzy set theory,ACM Special Interest Group;Apriori algorithm;DoS attack sequence prediction;KDD cup 99 training dataset;PrefixSpan algorithm;SPAM algorithm;candidate generation algorithm;data mining;denial of service attack;flooding;frequent sequential pattern discovery;information security;knowledge discovery;network intrusion dataset;networking structure;pattern growth algorithm;professional organization;sequence database generation;sequential pattern mining;spoofed IP address;timestamp window;training dataset;vertical bitmap data layout,,1,,8,,,19-20 Oct. 2012,,IEEE,IEEE Conference Publications,,
