http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&bulkSetSize=2000&refinements%3D4291944822%2C4291944246%26ranges%3D2009_2016_p_Publication_Year%26matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28.QT.Intrusion+Detection+System.QT.%29+AND+fence%29,11/5/2015 17:59,"((""Intrusion Detection System"") and fence)",IEEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,,
"Survivable RFID Systems: Issues, Challenges, and Techniques",Yanjun Zuo,"Univ. of North Dakota, Grand Forks, ND, USA","Systems, Man, and Cybernetics, Part C: Applications and Reviews, IEEE Transactions on",20100614,2010,40,4,406,418,"Radio frequency identification (RFID) technique has been applied in high-security and high-integrity settings such as national defense, healthcare, and citizen identification. A tiny RFID tag is attached to a mobile object, which can be scanned and recognized by a reader. RFID offers opportunities for real-time item identification and inventory tracking. For applications using resource-restricted RFID tags and mobile hand-held readers, however, various risks could threaten their abilities to provide essential services to users. High mobility of the RFID system components and the open nature make an RFID system vulnerable to various attacks. Currently, although some techniques exist that might help improve survivability; there is still no complete proposal on survivability of an RFID system despite its growing popularity and importance in many applications. In this paper, we study survivability issues related to RFID systems and survey existing techniques whose usability and adaptability toward survivability would be beneficial. Survivability is defined as the ability of a system to continuously provide essential services to support the system's mission even in the presence of malicious attacks or system failures. We discuss the issues and challenges in developing survivable RFID systems and propose research directions.",1094-6977,,,10.1109/TSMCC.2010.2043949,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5440949,Attack;radio frequency identification (RFID);recovery;survivability,,radiofrequency identification;security of data;ubiquitous computing,citizen identification;healthcare;high integrity settings;high security settings;inventory tracking;national defense;resource restricted RFID tags;survivability issues;survivable RFID systems,,18,,58,,4/1/2010,10-Jul,,IEEE,IEEE Journals & Magazines,,
Genetic algorithm based optimization technique for underwater sensor network positioning and deployment,"Iyer, S.; Rao, D.V.","Inst. for Syst. Studies & Anal., Delhi, India","Underwater Technology (UT), 2015 IEEE",20150518,2015,,,1,6,"Underwater acoustic sensor networks (UWSNs) are crucial for a multitude of underwater applications that require wireless operation. The deployment of sensor nodes in an optimal arrangement while overcoming the unique challenges posed by the surrounding medium and energy constraints on the sensors is a non-trivial task for real-world applications. As these characteristics are anisotropic with respect to change in temperature, salinity, depth, pH, and transmission frequency, they need to be accounted for in a dynamic simulation to preconfigure a stable physical network layout of nodes. A strategy based on computational intelligence techniques that takes into consideration these factors to achieve a viable configuration with the available resources is of prime importance. The proposed methodology uses a genetic algorithm (GA) based optimization technique for the positioning and deployment of UWSN nodes to maximize the coverage provided to protect a high-value asset (HVA) in a military application. In the case of a civil application for ocean monitoring, the proposed technique is used to identify the minimum number of nodes required and their positions for effective communication.",,978-1-4799-8299-8,,10.1109/UT.2015.7108229,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7108229,deployment strategy;genetic algorithm;modeling;simulation;underwater acoustic sensor network,Genetic algorithms;Monitoring;Optimization;Sociology;Statistics;Temperature sensors;Three-dimensional displays,genetic algorithms;oceanographic techniques;pH;sensor placement;telecommunication power management;underwater acoustic communication;wireless sensor networks,HVA;UWSN;computational intelligence techniques;energy constraints;genetic algorithm;high-value asset;ocean monitoring;physical network layout;sensor nodes;transmission frequency;underwater acoustic sensor networks;underwater sensor network positioning;wireless operation,,0,,21,,,23-25 Feb. 2015,,IEEE,IEEE Conference Publications,,
Abstract book,,,"Homeland Security (HST), 2012 IEEE Conference on Technologies for",20130214,2012,,,i,xvi,Summary form only given. Presents abstracts for the following 8 workshops: 7th IAPR Workshop on Pattern Recognition in Remote Sensing (PRRS 2012); Visual observation and analysis of animal and insect behavior 2012; Multimodal Pattern Recognition of Social Signals in Human Computer Interaction (MPRSS 2012); International Workshop on Depth Image Analysis (WDIA 2012); International Workshop on Pattern Recognition for Healthcare Analytics (IWPRHA 2012); The 5th International Workshop on Computational Forensics (IWCF 2012); First International Workshop on Pattern Recognition and Crowd Analysis; The 3rd International Workshop on Benchmark Test Schemes for AR/MR Geometric Registration and Tracking Method (TrakMark2012);,,978-1-4673-2708-4,,10.1109/THS.2012.6459813,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6459813,,,,,,0,,,,,13-15 Nov. 2012,,IEEE,IEEE Conference Publications,,
Optical fibre sensing networks,"Santos, J.L.; Frazao, O.; Baptista, J.M.; Jorge, P.A.S.; Dias, I.; Araujo, F.M.; Ferreira, L.A.","Dept. de Fis., Univ. do Porto, Porto, Portugal","Microwave and Optoelectronics Conference (IMOC), 2009 SBMO/IEEE MTT-S International",20100311,2009,,,290,298,"This presentation gives a review of the main concepts behind fibre optic sensing networks. Some important application areas are mentioned, such as the monitoring of oil fields, of large Civil Engineering structures, as well as of natural environments. Then, it will be addressed the potential relevance of this technology in domains of increasingly social importance, such as Health and Elderly Care, particularly in the development of Personal Health Systems.",1679-4389,978-1-4244-5356-6,978-1-4244-5357-3,10.1109/IMOC.2009.5427580,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5427580,multi-point and distributed measurement;optical fibre sensors;sensing networks,Biomedical optical imaging;Electromagnetic measurements;Optical attenuators;Optical fiber polarization;Optical fiber sensors;Optical fibers;Optical network units;Optical sensors;Sensor arrays;Wavelength measurement,fibre optic sensors,optical fibre sensing networks,,4,,32,,,3-6 Nov. 2009,,IEEE,IEEE Conference Publications,,
The Cyber Security Modeling Language: A Tool for Assessing the Vulnerability of Enterprise System Architectures,"Sommestad, T.; Ekstedt, M.; Holm, H.","R. Inst. of Technol., Stockholm, Sweden","Systems Journal, IEEE",20130704,2013,7,3,363,373,"The cyber security modeling language (CySeMoL) is a modeling language for enterprise-level system architectures coupled to a probabilistic inference engine. If the computer systems of an enterprise are modeled with CySeMoL, this inference engine can assess the probability that attacks on the systems will succeed. The theory used for the attack-probability calculations in CySeMoL is a compilation of research results on a number of security domains and covers a range of attacks and countermeasures. The theory has previously been validated on a component level. In this paper, the theory is also validated on a system level. A test indicates that the reasonableness and correctness of CySeMoL assessments compare with the reasonableness and correctness of the assessments of a security professional. CySeMoL's utility has been tested in case studies.",1932-8184,,,10.1109/JSYST.2012.2221853,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6378394,Computer security;expert systems;risk analysis;supervisory control and data acquisition (SCADA) systems,Computer architecture;Computer security;Databases;Probabilistic logic;Software;Systems engineering and theory,inference mechanisms;probability;security of data,CySeMoL assessments;attack-probability calculations;cyber security modeling language;enterprise-level system architectures;probabilistic inference engine,,6,,65,,12/11/2012,Sept. 2013,,IEEE,IEEE Journals & Magazines,,
Using Artificial Immune System on Implementation of Intrusion Detection Systems,"EshghiShargh, A.","Univ. of Melbourne, Melbourne, VIC, Australia","Computer Modeling and Simulation, 2009. EMS '09. Third UKSim European Symposium on",20091228,2009,,,164,168,"Security is vital to computer networks. IDSs (intrusion detection systems) are one of the important building blocks of a secure, reliable network and are used widely along with the other security programs and concepts. As the time passes, their importance becomes clearer. Recently, there have been some interesting researches on biological immune systems as a model for intrusion detection. In this article we describe IDS, including an overview of its types, techniques, and explore different IDS designs based on biologically inspired artificial intelligence concept: artificial immune system (AIS), which can be a future direction in IDS designing field. We also discuss some newer topics in this field like danger theory.",,978-1-4244-5345-0,978-0-7695-3886-0,10.1109/EMS.2009.45,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5358796,AIS;Artificial Immune System;Computer Network Security;Danger Theory;IDS;Intrusion Detection Systems;Security,Artificial immune systems;Australia;Computational modeling;Computer network reliability;Computer networks;Computer security;Computer simulation;Intrusion detection;Monitoring;Probes,artificial immune systems;computer network security,artificial immune system;biological immune systems;computer networks;danger theory;intrusion detection systems,,1,,18,,,25-27 Nov. 2009,,IEEE,IEEE Conference Publications,,
Cumulative probability of detecting an intruder by alarm systems,"Lovecek, T.; Velas, A.; Kampova, K.; Maris, L.; Mozer, V.","Dept. of Security Manage., Univ. of Silina, Silina, Slovakia","Security Technology (ICCST), 2013 47th International Carnahan Conference on",20141016,2013,,,1,5,"Currently various methodologies, procedures and software tools are used worldwide for the quantitative assessment of the reliability or effectiveness of the systems for protecting objects evaluating the interaction between the breakthrough resistances and the probabilities of detecting by alarm systems. Their frequent drawback is the fact that currently some concrete values or procedures for acquiring the individual variables are missing, or that these variables do not take into account all the significant influences of the environment. This article defines the possibility of a more complex calculation of one of the basic output quantities, i.e. the cumulative probability of detecting an intruder. Besides the newly defined functional dependences between the input parameters of this output quantity, the article also introduces concrete values of some parameters acquired through experiments (e.g. the probabilities of detecting an intruder by the PIR detector under standard or specific conditions).",,,,10.1109/CCST.2013.6922037,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6922037,alarm system;assessment;detection;efficiency;probability,Alarm systems;Cameras;Detectors;Mathematical model;Monitoring;Standards,alarm systems;infrared detectors;probability;reliability,PIR detector;cumulative probability;intruder alarm system;reliability,,0,,11,,,8-11 Oct. 2013,,IEEE,IEEE Conference Publications,,
Realization of User Level Fault Tolerant Policy Management through a Holistic Approach for Fault Correlation,"Park, B.H.; Naughton, T.J.; Agarwal, P.; Bernholdt, D.E.; Geist, A.; Tippens, J.L.","Comput. Sci. & Math. Div., Oak Ridge Nat. Lab., Oak Ridge, TN, USA","Policies for Distributed Systems and Networks (POLICY), 2011 IEEE International Symposium on",20110804,2011,,,17,24,"Many modern scientific applications, which are designed to utilize high performance parallel computers, occupy hundreds of thousands of computational cores running for days or even weeks. Since many scientists compete for resources, most supercomputing centers practice strict scheduling policies and perform meticulous accounting on their usage. Thus computing resources and time assigned to a user is considered invaluable. However, most applications are not well prepared for unforeseeable faults, still relying on primitive fault tolerance techniques. Considering that ever-plunging mean time to interrupt (MTTI) is making scientific applications more vulnerable to faults, it is increasingly important to provide users not only an improved fault tolerant environment, but also a framework to support their own fault tolerance policies so that their allocation times can be best utilized. This paper addresses a user level fault tolerance policy management based on a holistic approach to digest and correlate fault related information. It introduces simple semantics with which users express their policies on faults, and illustrates how event correlation techniques can be applied to manage and determine the most preferable user policies. The paper also discusses an implementation of the framework using open source software, and demonstrates, as an example, how a molecular dynamics simulation application running on the institutional cluster at Oak Ridge National Laboratory benefits from it.",,978-1-4244-9879-6,978-0-7695-4330-7,10.1109/POLICY.2011.34,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5976791,,Biomedical monitoring;Correlation;Fault tolerance;Fault tolerant systems;Monitoring;Registers;Software,fault tolerant computing;public domain software;user interfaces,fault correlation approach;mean time-to-interrupt;molecular dynamics simulation application;open source software;supercomputing center;supercomputing scheduling policy;user level fault tolerant policy management;user policy,,1,,23,,,6-8 June 2011,,IEEE,IEEE Conference Publications,,
Program & timetable,,,"Security Technology (ICCST), 2010 IEEE International Carnahan Conference on",20101230,2010,,,1,4,Provides a schedule of conference events and a listing of which papers were presented in each session.,1071-6572,978-1-4244-7403-5,,10.1109/CCST.2010.5678670,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5678670,,,,,,0,,,,,5-8 Oct. 2010,,IEEE,IEEE Conference Publications,,
Abstract,,,"Networking, Sensing and Control, 2009. ICNSC '09. International Conference on",20090512,2009,,,1,35,"<div style=""font-variant: small-caps; font-size: .9em;"">First Page of the Article</div><img class=""img-abs-container"" style=""width: 95%; border: 1px solid #808080;"" src=""/xploreAssets/images/absImages/04919235.png"" border=""0"">",,978-1-4244-3491-6,978-1-4244-3492-3,10.1109/ICNSC.2009.4919235,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4919235,,,,,,0,,,,,26-29 March 2009,,IEEE,IEEE Conference Publications,,
Using OpenCL to Improve String Matching for Network Intrusion Detection,"Velea, R.; Patriciu, V.-V.; Gurzau, F.","Dept. of Comput. Eng.., Mil. Tech. Acad. of Bucharest, Bucharest, Romania","Control Systems and Computer Science (CSCS), 2015 20th International Conference on",20150806,2015,,,447,452,The current paper proposes a solution for offloading compute-intensive string matching operations performed by modern network intrusion detection systems (NIDS) or ant viruses to the GPU using OpenCL's programing model and serialized implementations of Aho-Corasick algorithm. The solution aims to provide scalability and performance in heterogeneous environments.,,978-1-4799-1779-2,,10.1109/CSCS.2015.26,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7168467,Network Intrusion;OpenCL;String Matching,Automata;Graphics processing units;Hardware;Instruction sets;Kernel;Performance evaluation;Power demand,computer viruses;graphics processing units;security of data;string matching,Aho-Corasick algorithm;GPU;NIDS;OpenCL;antiviruses;network intrusion detection systems;offloading compute-intensive string matching,,0,,20,,,27-29 May 2015,,IEEE,IEEE Conference Publications,,
Contents,,,"Computer Application and System Modeling (ICCASM), 2010 International Conference on",20101104,2010,3,,v,xv,Presents the table of contents of the proceedings.,,978-1-4244-7235-2,,10.1109/ICCASM.2010.5620246,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5620246,,,,,,0,,,,,22-24 Oct. 2010,,IEEE,IEEE Conference Publications,,
[Title page],,,"Security Technology (ICCST), 2010 IEEE International Carnahan Conference on",20101230,2010,,,i,xiv,The following topics are dealt with: systems and architecture; information security; systems engineering and systems design; X-Ray screening and imaging; face recognition and verification; security system design; biometrics; wireless communications; and detection technology.,1071-6572,978-1-4244-7403-5,,10.1109/CCST.2010.5678704,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5678704,,,X-ray imaging;biometrics (access control);face recognition;security of data;software engineering,X-Ray imaging;X-Ray screening;biometrics method;detection technology;face recognition;information security;security system design;system architecture;system engineering;wireless communication,,0,,,,,5-8 Oct. 2010,,IEEE,IEEE Conference Publications,,
Implementing high interaction honeypot to study SSH attacks,"Zemene, M.S.; Avadhani, P.S.","Dept. of Comput. Sci. & Syst. Eng., Andhra Univ., Visakhapatnam, India","Advances in Computing, Communications and Informatics (ICACCI), 2015 International Conference on",20150928,2015,,,1898,1903,Honeypot is a recent technology in the area of computer network security. Production systems that are connected to the Internet are the main target for various cyber attacks. This paper presents a deployment of honeypot system in campus network. The system implements high-interaction honeypot with Secure Shell installed to study common SSH attacks in Linux environment. This system records usernames and passwords that are attempted by intruder from the Internet. It also captures detail activities of the attackers while they are interacting inside the target honeypot. Intruders attack SSH servers through dictionary and brute-force mechanism followed by intrusion. This paper covers both dictionary attack and intrusion.,,978-1-4799-8790-0,,10.1109/ICACCI.2015.7275895,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7275895,Honeypot;Honeywall;Intrusion Detection;Secure Shell,Dictionaries;IP networks;Internet;Kernel;Linux;Security;Servers,Internet;Linux;computer network security,Internet;Linux environment;SSH attacks;brute-force mechanism;campus network;computer network security;cyber attacks;dictionary attack;high interaction honeypot;honeypot system,,,,,,,10-13 Aug. 2015,,IEEE,IEEE Conference Publications,,
Cyber/physical security vulnerability assessment integration,"Macdonald, D.; Clements, S.L.; Patrick, S.W.; Perkins, C.; Muller, G.; Lancaster, M.J.; Hutton, W.","Pacific Northwest Nat. Lab. Richland, Richland, WA, USA","Innovative Smart Grid Technologies (ISGT), 2013 IEEE PES",20130415,2013,,,1,6,"Securing high value and critical assets is one of the biggest challenges facing this nation and others around the world. In modern integrated systems, there are four potential modes of attack available to an adversary: 1 physical only attack, 2 cyber only attack, 3 physical-enabled cyber attack, 4 cyber-enabled physical attack. Blended attacks involve an adversary working in one domain to reduce system effectiveness in another domain. This enables the attacker to penetrate further into the overall layered defenses. Existing vulnerability assessment (VA) processes and software tools which predict facility vulnerabilities typically evaluate the physical and cyber domains separately. Vulnerabilities which result from the integration of cyber-physical control systems are not well characterized and are often overlooked by existing assessment approaches. In this paper, we modified modification of the timely detection methodology, used for decades in physical security VAs, to include cyber components. The Physical and Cyber Risk Analysis Tool (PACRAT) prototype illustrates an integrated vulnerability assessment that includes cyber-physical interdependencies. Information about facility layout, network topology, and emplaced safeguards is used to evaluate how well suited a facility is to detect, delay, and respond to attacks, to identify the pathways most vulnerable to attack, and to evaluate how often safeguards are compromised for a given threat or adversary type. We have tested the PACRAT prototype on critical infrastructure facilities and the results are promising. Future work includes extending the model to prescribe the recommended security improvements via an automated cost-benefit analysis.",,978-1-4673-4894-2,978-1-4673-4895-9,10.1109/ISGT.2013.6497883,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6497883,Modeling;Power Industry;Risk analysis;Security;Simulation,Analytical models;Computational modeling;Computer security;Delays;Organizations;Software tools,cost-benefit analysis;critical infrastructures;risk analysis;security of data,PACRAT;Physical and Cyber Risk Analysis Tool;attack delay;attack detection;attack response;automated cost-benefit analysis;blended attack;critical asset security;critical infrastructure facility;cyber components;cyber only attack;cyber-enabled physical attack;cyber-physical control system;cyber-physical interdependency;cyber-physical security vulnerability assessment integration;emplaced safeguard;facility layout;facility vulnerability prediction;high value asset security;layered defense;network topology;physical only attack;physical-enabled cyber attack;security improvement;software tool;system effectiveness reduction,,0,,5,,,24-27 Feb. 2013,,IEEE,IEEE Conference Publications,,
Table of content,,,"Electronics, Communications and Control (ICECC), 2011 International Conference on",20111103,2011,,,1,52,Presents the table of contents of the proceedings.,,978-1-4577-0320-1,,10.1109/ICECC.2011.6066268,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6066268,,,,,,0,,,,,9-11 Sept. 2011,,IEEE,IEEE Conference Publications,,
Cyber security in Smart Grid stations,"Nordb&#x00F8;, P.E.",,"Electricity Distribution (CIRED 2013), 22nd International Conference and Exhibition on",20131216,2013,,,1,4,"We are currently faced with the need of modernization of the electrical energy system, which means that an Monitor and Control (M&C) information network eventually will overlay the entire electric power network (generation, transmission, distribution and customer). Smart Grid environments like SCADA have historically focused on physical isolation and protection of equipment, and less focus on hardening the system with the best ICT security technology available. The Stuxnet virus was a reminder that physical isolation is not a guarantee against unauthorized access to SCADA equipment. This paper describes some of the technology and standards that are available and that should be applied in Smart Grid networks, and a migration strategy for reaching those goals is described.",,,978-1-84919-732-8,10.1049/cp.2013.0946,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6683549,,,SCADA systems;power system security;security of data;smart power grids,ICT security technology;M&C information network;SCADA equipment;cyber security;electric power network;electrical energy system;migration strategy;monitor and control information network;physical isolation;smart grid environments;smart grid stations,,0,,,,,10-13 June 213,,IET,IET Conference Publications,,
Assessment of video analytics for exterior intrusion detection applications,"Norman, B.C.","Sandia Nat. Labs., Albuquerque, NM, USA","Security Technology (ICCST), 2012 IEEE International Carnahan Conference on",20121231,2012,,,359,362,"When combined with a compatible assessment system, select video analytic devices can provide intrusion detection and target-tracking capabilities. With an attractive relative low cost, demand for video analytics has focused on high probability of detection and low nuisance alarm rate that has prioritized investment toward performance improvements. Modern algorithms offer sophisticated video-based intrusion detection and tracking capabilities that were unavailable a decade earlier. The modern video analytics have been shown to have a significant reduction of previously observed high nuisance alarm rates with improved detection capabilities. This paper includes results of a recent device evaluation performed at Sandia National Laboratories for a representative exterior intrusion detection application. For this limited scope effort, the device was evaluated for probability of detection and monitored for nuisance and false alarms over a six-month period from September 2010 to April 2011 (nuisance alarm cause is detailed). This paper also includes general and specific implementation considerations for video analytics. The author asserts that this work holds potential to improve implementation strategies for video-based detection sensors for several types of exterior perimeter and extended detection-sensing applications, making the case for interoperation and compliance standardization between video and sensor technology vendors for simplified integration of video analytic algorithms into security platforms.",1071-6572,978-1-4673-2450-2,978-1-4673-2449-6,10.1109/CCST.2012.6393585,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6393585,,Cameras;Intrusion detection;Laboratories;Lighting;Performance evaluation;Sensor systems,image sensors;object detection;probability;security of data;target tracking;video signal processing,compatible assessment system;extended detection-sensing applications;exterior intrusion detection applications;high probability of detection;low nuisance alarm rate;prioritized investment;security platforms;target-tracking capability;video analytic devices;video analytics assessment algorithm;video-based detection sensor strategy;video-based intrusion detection;video-based tracking capability,,0,,4,,,15-18 Oct. 2012,,IEEE,IEEE Conference Publications,,
Api-do: Tools for Exploring the Wireless Attack Surface in Smart Meters,"Goodspeed, T.; Bratus, S.; Melgares, R.; Speers, R.; Smith, S.W.","Univ. of Pennsylvania, Philadelphia, PA, USA","System Science (HICSS), 2012 45th Hawaii International Conference on",20120209,2012,,,2133,2140,"Security will be critical for the wireless interface offered by soon-to-be-ubiquitous smart meters -- since if not secure, this technology will provide an remotely accessible attack surface distributed throughout many homes and businesses. However, history shows that new network interfaces remained brittle and vulnerable (although believed otherwise) until security researchers could thoroughly explore their attack surface. Unfortunately, for the majority of currently available smart meter wireless networking solutions, we are still in that pre-exploration phase, ""closed"" radio stacks with proprietary features impede exploration by posing multiple hardware and software obstacles to standard network attack surface exploration techniques. In this paper, we address this problem by presenting open and extensible software tools for 802.15.4-based proprietary stacks that work on commodity digital radio platforms. We hope this contribution advances the state of the art beyond the pre-exploration tipping point, and toward real security.",1530-1605,978-1-4577-1925-7,978-0-7695-4525-7,10.1109/HICSS.2012.115,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6149271,802.15.4;ZigBee;attack surface exploration,Communication system security;IEEE 802.11 Standards;IEEE 802.15 Standards;Jamming;Monitoring;Security;Wireless communication,Zigbee;radio networks;radiometers;telecommunication security,802.15.4-based proprietary stacks;closed radio stacks;commodity digital radio platforms;hardware obstacles;network interfaces;preexploration tipping point;security researchers;smart meter wireless networking;software obstacles;soon-to-be-ubiquitous smart meters;standard network attack surface exploration techniques;wireless attack surface;wireless interface,,5,,37,,,4-7 Jan. 2012,,IEEE,IEEE Conference Publications,,
SMARTIE project: Secure IoT data management for smart cities,"Bohli, J.-M.; Skarmeta, A.; Victoria Moreno, M.; Garcia, D.; Langendorfer, P.","NEC Labs. Eur., Heidelberg, Germany","Recent Advances in Internet of Things (RIoT), 2015 International Conference on",20150511,2015,,,1,6,"The vision of SMARTIE (Secure and sMARter ciTIEs data management) is to create a distributed framework for IoT-based applications storing, sharing and processing large volumes of heterogeneous information. This framework is envisioned to enable end-to-end security and trust in information delivery for decision-making purposes following the data owner's privacy requirements. SMARTIE follows a data-centric paradigm, which will offer highly scalable and secure information for smart city applications. The heart of this paradigm will be the “information management and services” plane as a unifying umbrella, which will operate above heterogeneous network devices and data sources, and will provide advanced secure information services enabling powerful higher-layer applications.",,978-1-4799-8324-7,,10.1109/RIOT.2015.7104906,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7104906,IoT;Security;Smart Cities,Authorization;Cities and towns;Cryptography;Heating;Monitoring,Internet of Things;data privacy;database management systems;decision making;distributed processing;information services;smart cities;town and country planning;trusted computing,IoT-based applications;SMARTIE project;data owner privacy requirements;data sources;data-centric paradigm;decision-making purposes;distributed framework;end-to-end security;heterogeneous information processing;heterogeneous information sharing;heterogeneous information storing;heterogeneous network devices;information delivery;information management;secure IoT data management;secure and smarter cities data management;secure information services;smart city applications;trust,,0,,7,,,7-9 April 2015,,IEEE,IEEE Conference Publications,,
Cybersecurity investment optimization with risk: Insights for resource allocation,"Yueran Zhuo; Solak, S.","Isenberg Sch. of Manage., Univ. of Massachusetts Amherst, Amherst, MA, USA","Industrial Engineering and Operations Management (IEOM), 2015 International Conference on",20150427,2015,,,1,13,"Cybersecurity has become a key factor determining the success of business operations who relies on the functioning of information systems. Hence, the effecient investment on cybersecurity is an important financial and operaional decision. We propose a modeling framework that incorporates major components relevant to cybersecurity practice, and study the characteristics of optimal cybersecurity investment decisions for a firm, as well as how they vary under different risk approaches. A data-based analysis for major industries is performed, where we map the maximum potential loss of a firm with the optimal cybersecurity budget size and discover that the optimal budget size is independent of the mix of assets that a firm holds. In addition, we also conclude that firms in finance, energy, and technology sectors should invest more in detective technologies than preventive, as oppose to even split in most other industries. Moreover, the overall cybersecurity budgets for the former set of industries should be higher when compared with others.",,978-1-4799-6064-4,,10.1109/IEOM.2015.7093765,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7093765,,Computer security;Industries;Investment;Joints;Loss measurement;Portfolios;Uncertainty,asset management;business data processing;information systems;investment;optimisation;resource allocation;risk management;security of data,assets;business operations success;cybersecurity investment optimization;data-based analysis;energy sectors;finance sectors;financial decision;firm;information systems;maximum potential loss;modeling framework;operaional decision;optimal cybersecurity budget size;optimal cybersecurity investment decisions;resource allocation;risk approaches;technology sectors,,0,,36,,,3-5 March 2015,,IEEE,IEEE Conference Publications,,
Contents,,,"Networking, Sensing and Control, 2009. ICNSC '09. International Conference on",20090512,2009,,,1,9,Presents the table of contents of the conference proceedings.,,978-1-4244-3491-6,,10.1109/ICNSC.2009.4919236,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4919236,,,,,,0,,,,,26-29 March 2009,,IEEE,IEEE Conference Publications,,
Threat assessment and response for physical security of power substations,"Jing Xie; Chen-Ching Liu; Sforna, M.; Bilek, M.; Hamza, R.","Sch. of Mech. & Mater. Eng., Univ. Coll. Dublin, Dublin, Ireland","Innovative Smart Grid Technologies Conference Europe (ISGT-Europe), 2014 IEEE PES",20150202,2014,,,1,6,"Power grid facilities can be vulnerable with respect to malicious physical attacks. Preventive and/or remedial actions are essential to maintain the system integrity. This paper is focused on the physical security of power substations. The proposed methodology consists of an intrusion classification method, dynamic and static threat assessment methods, and decision support for the system operator's response in a contingency scenario. An important feature of the proposed method is to build the linkage between substation physical security monitoring and power system analysis. In addition, industry experience from two Transmission System Operators (TSOs) is incorporated in the development of the methodology.",,,,10.1109/ISGTEurope.2014.7028837,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7028837,Physical security;intrusion classification;substations;threat assessment;threat response,Economics;Load modeling;Monitoring;Power system dynamics;Security;Substations,power grids;power system security;substations,contingency scenario;decision support;intrusion classification method;malicious physical attack;power grid facility;power substation security;system operator response;threat assessment method;transmission system operator,,0,,13,,,12-15 Oct. 2014,,IEEE,IEEE Conference Publications,,
