http://ieeexplore.ieee.org.ezproxy.rit.edu/search/searchresult.jsp?bulkSetSize=2000&download-format=download-csv&refinements%3D4291944822%2C4291944246%26ranges%3D1998_2016_p_Publication_Year%26matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28%28%28%28.QT.megabytes.QT.%29+OR+.QT.kilobytes.QT.%29+OR+.QT.gigabytes.QT.%29+OR+.QT.bytes.QT.%29+AND+.QT.Intrusion+Detection+System.QT.%29,11/22/2015 19:05,"(((((megabytes) OR kilobytes) OR gigabytes) OR bytes) AND Intrusion Detection System)",IEEE
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifie
http://ieeexplore.ieee.org.ezproxy.rit.edu/search/searchresult.jsp?bulkSetSize=2000&download-format=download-csv&refinements%3D4291944822%2C4291944246%26ranges%3D1998_2016_p_Publication_Year%26matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28%28%28%28.QT.megabytes.QT.%29+OR+.QT.kilobytes.QT.%29+OR+.QT.gigabytes.QT.%29+OR+.QT.bytes.QT.%29+AND+.QT.Intrusion+Detection+System.QT.%29,11/22/2015 19:05,"(((((megabytes) OR kilobytes) OR gigabytes) OR bytes) AND Intrusion Detection System)",IEE
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifie
Network-based and Attack-resilient Length Signature Generation for Zero-day Polymorphic Worms,Zhichun Li; Lanjia Wang; Yan Chen; Zhi Fu,"Northwestern Univ., Evanston","Network Protocols, 2007. ICNP 2007. IEEE International Conference on",20071105,2007,,,164,173,"It is crucial to detect zero-day polymorphic worms and to generate signatures at the edge network gateways or honeynets so that we can prevent the worms from propagating at their early phase. However, most existing network-based signatures generated are not vulnerability-based and can be easily evaded by attacks. In this paper, we propose generating vulnerability-based signatures on the network level without any host-level analysis of worm execution or vulnerable programs. As the first step, we design a network-based length-based signature generator (LESG) for worms based on buffer overflow vulnerabilities'. The signatures generated are intrinsic to buffer overflows, and are very hard for attackers to evade. We further prove the attack resilience bounds even under worst case attacks with deliberate noise injection. Moreover, LESG is fast and noise-tolerant and has efficient signature matching. Evaluation based on real-world vulnerabilities of various protocols and real network traffic demonstrates that LESG is promising in achieving these goals.",,978-1-4244-1588-5,978-1-4244-1588-5,10.1109/ICNP.2007.4375847,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4375847,,Binary codes;Buffer overflow;Character generation;Computer worms;Internet;Intrusion detection;Phase detection;Protocols;Resilience;Telecommunication traffic,invasive software;telecommunication security,attack-resilient length signature generation zero-day polymorphic worm detection;buffer overflow;network-based length-based signature generator;vulnerability-based signature,,12,,40,,,16-19 Oct. 2007,,IEEE,IEEE Conference Publications,
An active splitter architecture for intrusion detection and prevention,"Xinidis, K.; Charitakis, I.; Antonatos, S.; Anagnostakis, K.G.; Markatos, E.P.","Inst. of Comput. Sci., Found. for Res. & Technol., Heraklion, Greece","Dependable and Secure Computing, IEEE Transactions on",20060213,2006,3,1,31,44,"State-of-the-art high-speed network intrusion detection and prevention systems are often designed using multiple intrusion detection sensors operating in parallel coupled with a suitable front-end load-balancing traffic splitter. In this paper, we argue that, rather than just passively providing generic load distribution, traffic splitters should implement more active operations on the traffic stream, with the goal of reducing the load on the sensors. We present an active splitter architecture and three methods for improving performance. The first is early filtering/forwarding, where a fraction of the packets is processed on the splitter instead of the sensors. The second is the use of locality buffering, where the splitter reorders packets in a way that improves memory access locality on the sensors. The third is the use of cumulative acknowledgments, a method that optimizes the coordination between the traffic splitter and the sensors. Our experiments suggest that early filtering reduces the number of packets to be processed by 32 percent, giving an 8 percent increase in sensor performance, locality buffers improve sensor performance by 10-18 percent, while cumulative acknowledgments improve performance by 50-90 percent. We have also developed a prototype active splitter on an IXP1200 network processor and show that the cost of the proposed approach is reasonable.",1545-5971,,,10.1109/TDSC.2006.6,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1593585,Network-level security and protection;intrusion detection and prevention.;network processors,Costs;Filtering;High-speed networks;Inspection;Intrusion detection;Optimization methods;Protocols;Prototypes;Sensor systems;Telecommunication traffic,buffer storage;distributed sensors;resource allocation;security of data;telecommunication security,active splitter architecture;intrusion detection;intrusion prevention;load distribution;load-balancing traffic splitter;locality buffering;memory access locality;network processor;network-level protection;network-level security,,19,,39,,,Jan.-March 2006,,IEEE,IEEE Journals & Magazines,
Detecting TCP SYN Flood Attack Based on Anomaly Detection,"Haris, S.H.C.; Ahmad, R.B.; Ghani, M.A.H.A.","Sch. of Comput. & Commun. Eng., Univ. Malaysia Perlis, Kangar, Malaysia","Network Applications Protocols and Services (NETAPPS), 2010 Second International Conference on",20101115,2010,,,240,244,Transmission Control Protocol (TCP) Synchronized (SYN) Flood has become a problem to the network management to defend the network server from being attacked by the malicious attackers. The malicious attackers can easily exploit the TCP three-way handshake by making the server exhausted and unavailable. The main problem in this paper is how to detect TCP SYN flood through network. This paper used anomaly detection to detect TCP SYN flood attack based on payload and unusable area. The results show that the proposed detection method can detect TCP SYN Flood in the network through the payload.,,978-1-4244-8048-7,978-0-7695-4177-8,10.1109/NETAPPS.2010.50,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5635797,Anomaly Detection;IP Header;Payload;TCP Header;TCP SYN Flood,Filtering;Floods;IP networks;Monitoring;Payloads;Protocols;Servers,computer network management;computer network security;invasive software;network servers;transport protocols,SYN flood attack;TCP;anomaly detection;malicious attackers;network management;network server;synchronized flood;three-way handshake;transmission control protocol,,1,2,11,,,22-23 Sept. 2010,,IEEE,IEEE Conference Publications,
Framework for Zombie Detection Using Neural Networks,"Salvador, P.; Nogueira, A.; Franca, U.; Valadas, R.","Inst. de Telecomun., Univ. of Aveiro, Aveiro","Internet Monitoring and Protection, 2009. ICIMP '09. Fourth International Conference on",20090619,2009,,,14,20,"One of the most important threats to personal and corporate Internet security is the proliferation of zombie PCs operating as an organized network. Zombie detection is currently performed at the host level and/or network level, but these options have some important drawbacks: antivirus, anti-spyware and personal firewalls are ineffective in the detection of hosts that are compromised via new or target-specific malicious software, while network firewalls and intrusion detection systems were developed to protect the network from external attacks but they were not designed to detect and protect against vulnerabilities that are already present inside the local area network. This paper presents a new approach, based on neural networks, that is able to detect zombie PCs based on the historical traffic profiles presented by licit and illicit network applications. The evaluation of the proposed methodology relies on traffic traces obtained in a controlled environment and composed by licit traffic measured from normal activity of network applications and malicious traffic synthetically generated using the subseven backdoor. The results obtained show that the proposed methodology is able to achieve good identification results, being at the same time computationally efficient and easy to deploy in real network scenarios.",,978-1-4244-3839-6,978-0-7695-3612-5,10.1109/ICIMP.2009.10,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5076342,Zombie;botnet;illicit traffic;neural network,Communication system traffic control;Electronic mail;IP networks;Intrusion detection;Local area networks;Neural networks;Personal communication networks;Protection;Telecommunication traffic;Unsolicited electronic mail,Internet;invasive software;local area networks;neural nets;telecommunication traffic,corporate Internet security;historical traffic profiles;illicit network application;licit network application;local area network;malicious software;neural networks;personal Internet security;subseven backdoor;zombie PC;zombie detection,,4,,21,,,24-28 May 2009,,IEEE,IEEE Conference Publications,
Distributed and Collaborative Intrusion Detection Systems,"Farroukh, A.; Mukadam, N.; Bassil, E.; Elhajj, I.H.","Electr. & Comput. Eng. Dept., American Univ. of Beirut, Beirut","Communications Workshop, 2008. LCW 2008. IEEE Lebanon",20080620,2008,,,41,45,"Intrusion detection systems help improve the security of networks by providing early warning and response. To improve the detection of attacks, sharing data among distributed nodes or terminals and collaborating on a decision is key. This paper presents a distributed and collaborative intrusion detection (DaCID) system that relies on Dempster Shafer theory of evidence for fusing data from multiple nodes. In this approach the detection is done collaboratively and the decision is distributed among all nodes. DaCID is more robust than other systems since it is completely distributed and the decision is made autonomously at each node. Simulation results demonstrated that DaCID's performance approaches that of a centralized method.",,978-1-4244-1772-8,978-1-4244-1754-4,10.1109/LCW.2008.4545399,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4545399,Collaborative;Dempster Shafer;Denial of Service;Distributed;Intrusion detection,Cats;Collaboration;Computer crime;Computer networks;Computer security;Data security;Distributed computing;Floods;Intrusion detection;Robustness,case-based reasoning;computer networks;groupware;telecommunication computing;telecommunication security,Dempster Shafer evidence theory;collaborative intrusion detection systems;data fusion;data sharing;distributed intrusion detection systems;network security,,2,,17,,,31-31 May 2008,,IEEE,IEEE Conference Publications,
"Network Forensic on Encrypted Peer-to-Peer VoIP Traffics and the Detection, Blocking, and Prioritization of Skype Traffics",Chun-Ming Leung; Yuen-Yan Chan,"Chinese Univ. of Hong Kong, Shatin","Enabling Technologies: Infrastructure for Collaborative Enterprises, 2007. WETICE 2007. 16th IEEE International Workshops on",20071226,2007,,,401,408,"Skype is a popular peer-to-peer (P2P) voice over IP (VoIP) application evolving quickly since its launch in 2003. However, the ability to traverse network address translation (NAT) and bypass firewalls, as well as the induced bandwidth burden due to the super node (SN) mechanism, make Skype considerably a threat to enterprise networks security and availability. Because Skype uses both encryption and overlays, detection and blocking of Skype is non- trivial. Motivated by the work ofBiondi and Desclaux [3], we adopt the view of Skype as a backdoor and we take a forensic approach to analyze it. We share our experience in this paper. With the forensic evidence, we identify a transport layer communication framework for Skype. We further formulate a set of socket-based detection and control policies for Skype traffics. Our detection method is a hybrid between payload and non-payload inspections, with improved accuracy and version sustainability over the traditional payload-only approaches. Our solution is practicable both inside and outside the NAT firewalls. This breakthrough makes the detection, blocking, and prioritization of Skype traffics possible in both the enterprise internal networks and the Internet Services Providers carrier networks.",1524-4547,978-0-7695-2879-3,,10.1109/WETICE.2007.4407198,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4407198,,Bandwidth;Communication system traffic control;Cryptography;Forensics;Internet telephony;Network address translation;Payloads;Peer to peer computing;Telecommunication traffic;Tin,Internet telephony;authorisation;peer-to-peer computing;telecommunication security;telecommunication traffic,Internet Services Providers;Skype traffics blocking;Skype traffics detection;encrypted peer-to-peer VoIP traffics;enterprise networks security;firewalls;network address translation;network forensic;nonpayload inspections;payload inspections;socket-based detection;super node mechanism;transport layer communication framework,,2,1,16,,,18-20 June 2007,,IEEE,IEEE Conference Publications,
Analysis of an offshore medium voltage DC microgrid environment  Part II: Communication network architecture,"Kounev, Velin; Tipper, David; Grainger, Brandon M.; Reed, Gregory","School of Information Science, University of Pittsburgh, Pittsburgh, PA USA","T&D Conference and Exposition, 2014 IEEE PES",20140724,2014,,,1,5,"The microgrid is a conceptual solution proposed as a plug-and-play interface for various types of renewable generation resources and loads. The high-level technical challenges associated with microgrids include (1) operation modes and transitions that comply with IEEE1547 and (2) control architecture and communication. In Part I, the emphasis is on the design of an electrical control architecture for an offshore oil drilling platform powered by wind generation. Engineering a distributed control system having safety critical features, requiring real-time performance is challenging. In this follow-up article we introduce the communication framework for the microgrid scenario under investigation. In all communication networks, scholastic delays and performance are inherent. The only feasible approach is to put bounds on the random processes, qualitatively define the worst cases, and build the distributed control system to be resilient enough to tolerate those behaviors. This is the approach taken by this paper. We propose a communication architecture, discuss performances requirements of the sub-systems, and layout network solutions meeting those specifications.",,,,10.1109/TDC.2014.6863567,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6863567,Communication Network Performance and Availability;DC Microgrids;Distributed Control Architecture;Security,,,,,2,,15,,,14-17 April 2014,,IEEE,IEEE Conference Publications,
Dynamic packet-filtering in high-speed networks using NetFPGAs,"Engelmann, F.; Lukaseder, T.; Erb, B.; van der Heijden, R.; Kargl, F.","Inst. of Distrib. Syst., Univ. of Ulm, Ulm, Germany","Future Generation Communication Technology (FGCT), 2014 Third International Conference on",20141023,2014,,,55,59,"Computational power for content filtering in high-speed networks reaches a limit, but many applications as intrusion detection systems rely on such processes. Especially signature based methods need extraction of header fields. Hence we created an parallel protocol-stack parser module on the NetFPGA 10G architecture with a framework for simple adaption to custom protocols. Our measurements prove that the appliance operates at 9.5 Gb/s with a delay in order of any active hop. The work provides the foundation to use for application specific projects in the NetFPGA context.",,,,10.1109/FGCT.2014.6933224,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6933224,,Buffer storage;Delays;Field programmable gate arrays;Hardware;Intrusion detection;Protocols;Throughput,cryptographic protocols;digital signatures;field programmable gate arrays;filtering theory,NetFPGA 10G architecture;bit rate 9.5 Gbit/s;computational power;content filtering;dynamic packet-filtering;header field extraction;high-speed networks;intrusion detection systems;parallel protocol-stack parser module;signature based methods,,0,,7,,,13-15 Aug. 2014,,IEEE,IEEE Conference Publications,
Thwarting Zero-Day Polymorphic Worms With Network-Level Length-Based Signature Generation,Lanjia Wang; Zhichun Li; Yan Chen; Zhi Fu; Xing Li,"Tsinghua Univ., Beijing, China","Networking, IEEE/ACM Transactions on",20100217,2010,18,1,53,66,"It is crucial to detect zero-day polymorphic worms and to generate signatures at network gateways or honeynets so that we can prevent worms from propagating at their early phase. However, most existing network-based signatures are specific to exploit and can be easily evaded. In this paper, we propose generating vulnerability-driven signatures at network level without any host-level analysis of worm execution or vulnerable programs. As the first step, we design a network-based length-based signature generator (LESG) for the worms exploiting buffer overflow vulnerabilities. The signatures generated are intrinsic to buffer overflows, and are very difficult for attackers to evade. We further prove the attack resilience bounds even under worst-case attacks with deliberate noise injection. Moreover, LESG is fast and noise-tolerant and has efficient signature matching. Evaluation based on real-world vulnerabilities of various protocols and real network traffic demonstrates that LESG is promising in achieving these goals.",1063-6692,,,10.1109/TNET.2009.2020431,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5200325,length-based signature;polymorphic worm;worm signature generation;zero-day vulnerability,Buffer overflow;Internet;Intrusion detection;Phase detection;Protection;Protocols;Resilience;Runtime;Scalability;Telecommunication traffic,digital signatures;internetworking;invasive software;telecommunication traffic,attack resilience bounds;buffer overflow vulnerabilities;honeynets;host level analysis;network gateways;network traffic;network-level length-based signature generation;noise injection;signature matching;vulnerability driven signatures;zero-day polymorphic worms,,4,2,47,,8/11/2009,Feb. 2010,,IEEE,IEEE Journals & Magazines,
The design and implementation of wireless sensor network monitoring and control system based on modbus/tcp,Fu Jingqi; Guo Jun; Zheng Xueli; Du Xin; Liu Fuwei,"Sch. of Mechatron. Eng. & Autom., Shanghai Univ., Shanghai, China","Control and Decision Conference (CCDC), 2013 25th Chinese",20130718,2013,,,3319,3323,"This paper introduce the design of monitoring and control system for wireless sensor network based on Modbus/Tcp and its implementation on Visual Studio 2005 platform. It communicates with gateway device and stores the data in MySql database. It also provides important work parameters history curve query function for wireless nodes and gateway which can be a reference for adjusting wireless sensor nodes work state. Manually configuring IP for Modbus server will waste a lot of time. On the other side, the network may disconnect unexpectedly in the industrial field. As a solution, this paper put forward a proposal of recovering from this kind of network fault automatically. Additionally, this paper builds a fuzzy control framework for node transmitting power based on LQI and RSSI.",,978-1-4673-5533-9,,10.1109/CCDC.2013.6561520,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6561520,Automatic connect;Fault recovery;Fuzzy Control;Wireless sensor network,Computers;Logic gates;Protocols;Servers;Software;Wireless communication;Wireless sensor networks,fuzzy control;network servers;transport protocols;wireless sensor networks,LQI;Modbus server;Modbus-TCP;MySql database;RSSI;Visual Studio 2005 platform;fuzzy control framework;gateway device;network fault;query function;wireless sensor network control system;wireless sensor network monitoring system;wireless sensor node work state adjustment,,0,,11,,,25-27 May 2013,,IEEE,IEEE Conference Publications,
Detecting distributed signature-based intrusion: The case of multi-path routing attacks,"Jiefei Ma; Le, F.; Russo, A.; Lobo, J.",,"Computer Communications (INFOCOM), 2015 IEEE Conference on",20150824,2015,,,558,566,"Signature-based network intrusion detection systems (S-IDS) have become an important security tool in the protection of an organisation's infrastructure against external intruders. By analysing network traffic, S-IDS' detect network intrusions. An organisation may deploy one or multiple S-IDS', each working independently with the assumption that it can monitor all packets of a given flow to detect intrusion signatures. However, emerging technologies (e.g., Multi-Path TCP) violate this assumption, as traffic can be concurrently sent across different paths (e.g., WiFi, Cellular) to boost network performance. Attackers may exploit this capability and split malicious payloads across multiple paths to evade traditional signature-based network intrusion detection systems. Although multiple monitors may be deployed, none of them has the full coverage of the network traffic to detect the intrusion signature. In this paper, we formalise this distributed signature-based intrusion detection problem as an asynchronous online exact string matching problem, and propose an algorithm for it. To demonstrate its effectiveness we conducted comprehensive experiments. Our results show that the behaviour of our algorithm depends only on the packet arrival rate: delay in detecting the signature grows linearly with respect to the packet arrival rate and with small communication overhead.",,,,10.1109/INFOCOM.2015.7218423,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7218423,,Automata;Computers;Conferences;Intrusion detection;Monitoring;Payloads;Synchronization,computer network security;multipath channels;telecommunication traffic,asynchronous online exact string matching problem;distributed signature-based intrusion;intrusion signatures;multi-path routing attacks;network intrusion detection systems;network traffic;packet arrival rate,,0,,21,,,April 26 2015-May 1 2015,,IEEE,IEEE Conference Publications,
A hybrid anomaly detection model using G-LDA,"Kasliwal, B.; Bhatia, S.; Saini, S.; Thaseen, I.S.; Kumar, C.A.","Sch. of Comput. Sci. & Eng., VIT Univ., Chennai, India","Advance Computing Conference (IACC), 2014 IEEE International",20140327,2014,,,288,293,"Anomaly detection is one of the important challenges of network security associated today. We present a novel hybrid technique called G-LDA to identify the anomalies in network traffic. We propose a hybrid technique integrating Latent Dirichlet Allocation and genetic algorithm namely the G-LDA process. Furthermore, feature selection plays an important role in identifying the subset of attributes for determining the anomaly packets. The proposed method is evaluated by carrying out experiments on KDDCUP'99 dataset. The experimental results reveal that the hybrid technique has a better accuracy for detecting known and unknown attacks and a low false positive rate.",,978-1-4799-2571-1,,10.1109/IAdCC.2014.6779336,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6779336,Anomaly;Breeding;Fitness;Genetic Algorithm;Intrusion Detection Systems;Latent Dirichlet Allocation,Accuracy;Educational institutions;Genetic algorithms;Genetics;Intrusion detection;Telecommunication traffic,computer network security;genetic algorithms;telecommunication traffic,G-LDA;KDDCUP'99 dataset;anomaly packets;feature selection;genetic algorithm;hybrid anomaly detection model;latent Dirichlet allocation;network security;network traffic,,0,,18,,,21-22 Feb. 2014,,IEEE,IEEE Conference Publications,
The effect of attribute pairings in intrusion detection,"Milliken, M.; Yaxin Bi; Galway, L.","Sch. of Comput. & Math., Univ. of Ulster, Newtownabbey, UK","Computational Intelligence (UKCI), 2014 14th UK Workshop on",20141020,2014,,,1,6,"As Network Intrusions have become larger and more pervasive the methods of detection have changed, a number of systems use ensemble methods to improve upon results from single classifiers or algorithms. The solutions proposed in the literature achieve good results, which primarily focus on classification of Network Intrusions by tailoring classification algorithms and feature selection. However fewer studies focus on investigation of relation between pairs of attributes, such as IP address and Port, as a single attribute. This paper proposes an effect analysis of pairs of attributes in order to improve intrusion detection using an ensemble-based classification approach.",,,,10.1109/UKCI.2014.6930185,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6930185,ensemble methods;intrusion detection;supervised machine learning,Algorithm design and analysis;Classification algorithms;Hidden Markov models;IP networks;Machine learning algorithms;Payloads;Ports (Computers),learning (artificial intelligence);security of data,attribute pairings;ensemble-based classification approach;feature selection;network intrusion detection,,0,,11,,,8-10 Sept. 2014,,IEEE,IEEE Conference Publications,
Improved deterministic packet marking algorithm for IPv6 traceback,"Parashar, A.; Radhakrishnan, R.","Dr. K.N. Modi Univ., Tonk, India","Electronics and Communication Systems (ICECS), 2014 International Conference on",20140908,2014,,,1,4,Internet has become prime source of information to access. The access to information can be affected by DDoS attacks. Pool of available IPv4 addresses are in exhaustion. IPv6 addresses are now in use to some extent by the organization. Attacks in the form of DDoS attack reduces the availability of resources to minimum level. IDPM on IPv6 traceback technique will ensure that the source of attack will be detected to ensure the availability of resources.,,978-1-4799-2321-2,,10.1109/ECS.2014.6892594,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6892594,DDoS attack;IDPM;IP traceback;IPv6,Computers;IP networks;Next generation networking;World Wide Web,IP networks;Internet;computer network security,DDoS attack;DDoS attacks;IDPM;IPv6 traceback;Internet;improved deterministic packet marking algorithm,,0,,12,,,13-14 Feb. 2014,,IEEE,IEEE Conference Publications,
Features Selection for Intrusion Detection Systems Based on Support Vector Machines,"Zaman, S.; Karray, F.","ECE Dept., Univ. of Waterloo, Waterloo, ON","Consumer Communications and Networking Conference, 2009. CCNC 2009. 6th IEEE",20090218,2009,,,1,8,"Intrusion detection systems (EDSs) deal with large amounts of data containing irrelevant and/or redundant features. These features result in a slow training and testing process, heavy computational resources, and low detection accuracy. Features selection, therefore, is an important issue in EDSs. A reduced features set improves system accuracy and speeds up the training and testing process considerably. In this paper, we propose a novel and simple method - enhanced support vector decision function (ESVDF)-for features selection. This method selects features based on two important factors: the feature's rank (weight), which is calculated using support vector decision function (SVDF), and the correlation between the features, which is determined by either the forward selection ranking (FSR) or backward elimination ranking (BER) algorithm. Our method significantly decreases training and testing times without loss in detection accuracy. Moreover, it selects the features set independently of the classifier used. We have examined the feasibility of our approach by conducting several experiments using the DARPA dataset. The experimental results indicate that the proposed algorithms can deliver satisfactory results in terms of classification accuracy, training time, and testing time.",,978-1-4244-2308-8,978-1-4244-2309-5,10.1109/CCNC.2009.4784780,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4784780,,Bit error rate;Computer crime;Computer vision;Computerized monitoring;Fuzzy logic;Intrusion detection;Neural networks;Support vector machine classification;Support vector machines;System testing,computer networks;security of data;support vector machines,ESVDF;backward elimination ranking;classification accuracy;enhanced support vector decision function;features ranking;features selection;forward selection ranking;intrusion detection systems;support vector machines;testing time;training time,,6,,40,,,10-13 Jan. 2009,,IEEE,IEEE Conference Publications,
A Novel Method of Filtering Internet Background Radiation Traffic,Ruoyu Wang; Ling Zhang; Zhen Liu,"Sch. of Comput. Sci. & Eng., South China Univ. of Technol., Guangzhou, China","Emerging Intelligent Data and Web Technologies (EIDWT), 2013 Fourth International Conference on",20131017,2013,,,371,376,"Internet Background Radiation (IBR) traffic is a kind of abnormal traffic, which is ubiquitous on the Internet. Detecting or filtering out IBR traffic from all traffic is benefit to ensure network security. This paper proposes a novel IBR traffic filtering method based on relative uncertainty theory. It directly filters out IBR traffic from collected Net Flow data without specific configurations or building extra collection system. The key assumption of our approach is that the traffic source of normal users is relatively certain rather than random. The IBR traffic filtered by our approach also includes the part that sent to normal user hosts besides the traffic to unsigned IP, which is more valuable and practical to network security.",,978-1-4799-2140-9,,10.1109/EIDWT.2013.70,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6631648,Internet background radiation traffic;network measurement;relative uncertainty;traffic analysis,Educational institutions;Filtering theory;IP networks;Internet;Monitoring;Random variables;Uncertainty,Internet;computer network security;filtering theory;telecommunication traffic,IBR traffic detecting method;IBR traffic filtering method;Internet background radiation traffic;net flow data;network security;relative uncertainty theory,,0,,16,,,9-11 Sept. 2013,,IEEE,IEEE Conference Publications,
A Combined Fusion and Data Mining Framework for the Detection of Botnets,"Kiayias, A.; Neumann, J.; Walluck, D.; McCusker, O.","Dept. of Comput. Sci. & Eng., Univ. of Connecticut, Storrs, CT","Conference For Homeland Security, 2009. CATCH '09. Cybersecurity Applications & Technology",20090324,2009,,,273,284,"This paper describes a combined fusion and mining framework applied to the detection of stealthy botnets.The framework leverages a fusion engine that tracks hosts through the use of feature-based profiles generated from multiple network sensor types. These profiles are classified and correlated based on a set of known host profiles, e.g., web servers, mail servers,and bot behavioral characteristics. A mining engine discovers emergent threat profiles and delivers them to the fusion engine for processing. We describe the distributed nature of botnets and how they are created and managed. We then describe a combined fusion and mining model that builds on recent work in the cybersecurity domain. The framework we present employs an adaptive fusion system driven by a mining system focused on the discovery of new threats. We conclude with a discussion of experimental results, deployment issues, and a summary of our arguments.",,978-0-7695-3568-5,,10.1109/CATCH.2009.9,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4804456,botnets;crimeware;data fusion;data mining;distributed detection model;distributed threat;hyperplane;network behavior analyzer;profile;threat-centricity.,Application software;Computer science;Computer security;Data engineering;Data mining;Engines;Fusion power generation;Peer to peer computing;Sensor phenomena and characterization;Terrorism,data mining;sensor fusion,adaptive fusion system;botnets;crimeware;data mining;distributed detection model;distributed threat;fusion engine;mining engine;multiple network sensor,,1,,26,,,3-4 March 2009,,IEEE,IEEE Conference Publications,
PERG: A scalable pattern-matching accelerator,"Ho, J.; Lemieux, G.G.F.","Dept. of Electr. & Comput. Eng, Univ. of British Columbia, Vancouver, BC","Microsystems and Nanoelectronics Research Conference, 2008. MNRC 2008. 1st",20081121,2008,,,29,32,"PERG is an FPGA application for accelerating detection of computer virus signatures (patterns). A pattern consists of a sequence of one or more segments separated by gaps of fixed lengths. PERG preprocesses a database of these patterns into hardware. To our knowledge, PERG is the first pattern matching hardware targeting viruses, as well as the first among network intrusion detection systems (NIDS), which are similar in nature to PERG, to implement Bloomier filters. This makes guarding against false positives faster than traditional Bloom filters because verification requires checking against one pattern instead of several patterns. Using the ClamAV antivirus database, PERG fits 80,282 patterns containing over 8,224,848 characters into one modest FPGA chip with a small (4 MB) off-chip memory. The architecture achieves roughly 26x improved density (characters per memory bit) compared to the next-best NIDS pattern-matching engine which fits only 1/250<sup>th</sup> the characters. With an estimated throughput of about 200MB/s, PERG keeps up with most network or disk interfaces.",,978-1-4244-2920-2,978-1-4244-2921-9,10.1109/MNRC.2008.4683370,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4683370,Antivirus;Bloomier Filter;FPGA;Pattern Matching,Acceleration;Application software;Databases;Field programmable gate arrays;Hardware;Intrusion detection;Matched filters;Memory architecture;Pattern matching;Viruses (medical),computer viruses;field programmable gate arrays;filters;pattern matching,Bloomier filters;ClamAV antivirus database;FPGA;PERG;computer virus signatures;false positives;network intrusion detection systems;scalable pattern-matching accelerator,,0,,15,,,15-15 Oct. 2008,,IEEE,IEEE Conference Publications,
