http://ieeexplore.ieee.org.ezproxy.rit.edu/search/searchresult.jsp?download-format=download-csv&bulkSetSize=2000&refinements%3D4291944822%2C4291944246%26ranges%3D1998_2016_p_Publication_Year%26matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28.QT.seconds.QT.%29+AND+.QT.Intrusion+detection+system.QT.%29,11/22/2015 19:09,"((""seconds"") AND ""Intrusion detection system"")",IEEE
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Cross-layer cluster-based data dissemination for failure detection in MANETs,"Kidston, D.; Li Li; Al Mamun, W.; Lutfiyya, H.","Canada Commun. Res. Centre, Ottawa, ON, Canada","Network and Service Management (CNSM), 2011 7th International Conference on",20111215,2011,,,1,7,"Node failures may be frequent in MANETs, but there can be many different causes for those failures. Nodes may lose power, crash, or simply move out of range of other nodes in the network. Identifying the root cause is complicated by a lack of fixed monitoring and analysis infrastructure. Past research has focused on monitoring using either ping, heartbeat, or gossip-based approaches, which can incur significant network wide overhead. This paper proposes a novel k-hop cluster based data dissemination scheme that can piggyback on routing messages for more efficient detection of failures including node disconnection. In this scheme, nodes forward their neighbour-hood observations to a per-cluster failure detector based on the observed spanning tree. Simulations show that detecting disconnected nodes using a cross-layer implementation of the data dissemination scheme is more efficient while an application layer implementation is faster. This effect is more pronounced in sparse networks.",,978-1-4577-1588-4,978-3-901882-44-9,,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6104019,MANET;cross-layer;data dissemination;failure detection;network efficiency,Ad hoc networks;Data models;Detectors;Heart beat;Mobile computing;Protocols;Topology,mobile ad hoc networks;telecommunication network management;telecommunication network routing;trees (mathematics),MANET;cross-layer cluster-based data dissemination;failure detection;k-hop cluster;neighbour-hood observation;node disconnection;node failure;routing message;spanning tree;sparse network,,0,,16,,,24-28 Oct. 2011,,IEEE,IEEE Conference Publications,
Abstract book,,,"Homeland Security (HST), 2012 IEEE Conference on Technologies for",20130214,2012,,,i,xvi,Summary form only given. Presents abstracts for the following 8 workshops: 7th IAPR Workshop on Pattern Recognition in Remote Sensing (PRRS 2012); Visual observation and analysis of animal and insect behavior 2012; Multimodal Pattern Recognition of Social Signals in Human Computer Interaction (MPRSS 2012); International Workshop on Depth Image Analysis (WDIA 2012); International Workshop on Pattern Recognition for Healthcare Analytics (IWPRHA 2012); The 5th International Workshop on Computational Forensics (IWCF 2012); First International Workshop on Pattern Recognition and Crowd Analysis; The 3rd International Workshop on Benchmark Test Schemes for AR/MR Geometric Registration and Tracking Method (TrakMark2012);,,978-1-4673-2708-4,,10.1109/THS.2012.6459813,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6459813,,,,,,0,,,,,13-15 Nov. 2012,,IEEE,IEEE Conference Publications,
A new approach for early detection of Internet worms based on connection degree,Chen Bo; Bin-Xing Fang; Xiao-Chun Yun,"Nat. Comput. Inf. Content Security Key Lab., Harbin Inst. of Technol., China","Machine Learning and Cybernetics, 2005. Proceedings of 2005 International Conference on",20051107,2005,4,,2424,2430 Vol. 4,"In recent years, Internet-scale worm incidents occurred many times. People wonder at the speediness of the worm spread and the severe damage to the Internet. So people began to find methods to detect worms as quickly as possible. The paper first describes a worm behavior and propagation model. And then based on it, a new approach for early detection of Internet worms is proposed. This approach determines whether a worm incident has occurred by the change of the computers' connection degree. The approach is proved to be effective on early detection of unknown worms by experiments.",,0-7803-9091-1,,10.1109/ICMLC.2005.1527351,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1527351,CUSUM;Worm;behavior model;connection degree;early detection,Computer hacking;Computer networks;Computer security;Computer worms;Economics;Information security;Internet;Intrusion detection;National security;Web server,Internet;invasive software,Internet worm;computer connection degree;propagation model,,2,,14,,,18-21 Aug. 2005,,IEEE,IEEE Conference Publications,
A study on path behavior characteristics of IPv6 based reflector attacks,"Meenakshi, S.P.; Raghavan, S.V.; Bhaskar, S.M.","Dept. of Comput. Sci. & Eng., Indian Inst. of Technol. Madras, Chennai, India","Local Computer Networks (LCN), 2011 IEEE 36th Conference on",20111229,2011,,,927,933,"IPv6 communication protocol vulnerabilities are common security threats in Next Generation Networks. Distributed Denial of Service (DDoS) attacks generated by exploiting these vulnerabilities have performance impact on both victim as well as on other hosts sharing the communication path. Hence in order to protect the computational and bandwidth resources of the shared path, the anomalies caused by these attacks are to be detected and the attack traffic should be filtered out from the network elements. Under the context of flow state maintenance not deployed in the network elements, the bandwidth characterization of the attack traffic is essential to deploy the filtering rules in the equipments. In this work we have considered the network bandwidth characterization of a highly critical DDoS attack in the network: the distributed reflector attack through spoofed IPv6 flows. The generated spoofed IPv6 traffic from the attacker (slaves), the reflector attack traffic caused by the responses from the reflector and the victim, and the end-to-end path bandwidth characteristics of these flows over a 6 to 4 tunnel are reported in terms of flow rates and per flow packet count. The flow rate pattern of the spoofed flows is modeled at the attacker side using inter departure time and packet size. The impact of network scale factor on the flow rate pattern over the path is studied and reported. We also have quantified the reflector attack flow rate in the presence of the scale factor and multiple spoofed flow sources.",0742-1303,978-1-61284-926-3,,10.1109/LCN.2011.6115573,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6115573,,Bandwidth;Estimation;Generators;Level measurement;Servers;Size measurement;Time measurement,IP networks;next generation networks;protocols;telecommunication security,DDoS attack;IPv6 based reflector attacks;IPv6 communication protocol;distributed denial of service;flow state maintenance;next generation networks;path behavior characteristics;security threats,,0,,13,,,4-7 Oct. 2011,,IEEE,IEEE Conference Publications,
Worm epidemics in high-speed networks,"Chen, T.M.; Robert, J.-M.","Dept. of Electr. Eng., Southern Methodist Univ., Dallas, TX, USA",Computer,20040621,2004,37,6,48,53,"Future worm epidemics might spread at unprecedented rates in high-speed networks. A comprehensive automated defense system will be the only way to contain new threats but could be too risky to implement without more reliable detection accuracy and better real-time traffic analysis. Although researchers continue to work on improving worm detection accuracy and real-time traffic analysis, a practical solution thus far remains elusive. One possible alternative is to try to prevent a worm from spreading rather than react to an existing epidemic.",0018-9162,,,10.1109/MC.2004.36,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1306386,,Biological system modeling;Collaborative software;Computer crime;Computer viruses;Computer worms;High-speed networks;IP networks;Intelligent networks;Internet;Pervasive computing,Internet;invasive software;real-time systems;telecommunication security;telecommunication traffic,automated defense system;high-speed networks;real-time traffic analysis;worm epidemic,,14,,12,,,Jun-04,,IEEE,IEEE Journals & Magazines,
Defense against packet dropping attacks in opportunistic networks,"Ahmad, A.; Alajeely, M.; Doss, R.","Sch. of Inf. Technol., Deakin Univ., Melbourne, VIC, Australia","Advances in Computing, Communications and Informatics (ICACCI, 2014 International Conference on",20141201,2014,,,1608,1613,"Opportunistic networks (OppNets) are an interesting topic that are seen to have a promising future. Many protocols have been developed to accommodate the features of OppNets such as frequent partitions, long delays, and no end-to-end path between the source and destination nodes. Embedding security into these protocols is challenging and has taken a lot of attention in research. One of the attacks that OppNets are exposed to is the packet dropping attack, where the malicious node attempts to drop some packets and forwards an incomplete number of packets which results in the distortion of the message. To increase the security levels in OppNets, this paper presents an algorithm developed to detect packet dropping attacks, and finds the malicious node that attempted the attack. The algorithm detects the attack by using an indicative field in the header section of each packet; the indicative field has 3 sub fields - the identification field, the flag field, and the offset field. These 3 fields are used to find if a node receives the complete original number of packets from the previous node. The algorithm will have the advantage of detecting packets dropped by each intermediate node, this helps solve the difficulties of finding malicious nodes by the destination node only.",,978-1-4799-3078-4,,10.1109/ICACCI.2014.6968318,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6968318,Defense;Denial of Service;Malicious Node;OppNets;Opportunistic Networks;Packet Dropping Attack;security,Accuracy;Algorithm design and analysis;Delays;Educational institutions;Monitoring;Routing;Security,computer network security,OppNets;opportunistic networks;packet dropping attacks,,0,,17,,,24-27 Sept. 2014,,IEEE,IEEE Conference Publications,
TCP/IP Model and Intrusion Detection Systems,"Zaman, S.; Karray, F.","ECE Dept., Univ. of Waterloo, Waterloo, ON","Advanced Information Networking and Applications Workshops, 2009. WAINA '09. International Conference on",20090626,2009,,,90,96,"To accommodate the information security growth and hacker's improved strategies and tools, intrusion detection systems (IDSs) are required to be allocated across the network. Furthermore, previous studies showed that the choice of network features used for the IDS is dependent on the type of the attack. Accordingly, each TCP/IP network layer has specific type of network attacks, which means that each TCP/IP network layer needs a specific type of IDS. This paper proposes a new categorization for IDS depending on the TCP/IP network model: application layer IDS (AIDS), transport layer IDS (TIDS), network layer IDS (NIDS) and link layer IDS (LIDS). Each of these IDS types is specialized to a specific network device. So, the detection process will be distributed among all TCP/IP network model layers through the network devices. To design each of these different types of IDS, several experiments have been conducted using two different features selection approaches to select the appropriate features set for each IDS type. The experimental results indicate that each IDS type has different features set that can not only improve the overall performance of the IDS, but it also can improve its scalability.",,978-1-4244-3999-7,978-0-7695-3639-2,10.1109/WAINA.2009.12,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5136630,Intrusion detection systems;TCP/IP network model;features ranking;features selection;support vector decision function;support vector machines,Acquired immune deficiency syndrome;Computer hacking;Computer networks;Data processing;IP networks;Information security;Intrusion detection;Scalability;Support vector machines;TCPIP,security of data;transport protocols,TCP/IP network layer;application layer;information security;intrusion detection systems;link layer;network allocation;network devices;transport layer,,1,,24,,,26-29 May 2009,,IEEE,IEEE Conference Publications,
Fast Algorithms for Heavy Distinct Hitters using Associative Memories,"Bandi, N.; Agrawal, D.; El Abbadi, A.","Dept. of Comput. Sci., Univ. of California, Santa Barbara, CA","Distributed Computing Systems, 2007. ICDCS '07. 27th International Conference on",20070709,2007,,,6,6,"Real-time detection of worm attacks, port scans and distributed denial of service (DDoS) attacks, as network packets belonging to these security attacks flow through a network router, is of paramount importance. In a typical worm attack, a worm infected host tries to spread the worm by scanning a number of other hosts thus resulting in significant number of network connections at an intermediate router. Detecting such attacks amounts to finding all hosts that are associated with unusually high number of other hosts, which is equivalent to solving the classic heavy distinct hitter problem over data streams. While several heavy distinct hitter solutions have been proposed and evaluated in a standard CPU setting, most of the above applications typically execute on special networking architectures called network processing units (NPUs). These NPUs interface with special associative memories known as the ternary content addressable memories (TCAMs) to provide gigabit rate forwarding at network routers. In this paper, we describe how the integrated architecture of NPU and TCAMs can be exploited to develop high-speed solutions for heavy distinct hitters.",1063-6927,0-7695-2837-3,0-7695-2837-3,10.1109/ICDCS.2007.110,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4268163,,Associative memory;Central Processing Unit;Computer crime;Computer science;Computer security;Computer worms;Data security;Hardware;Sampling methods;Stock markets,content-addressable storage;invasive software;telecommunication network routing;telecommunication security,associative memory;attack detection;data streams;distributed denial of service attack;heavy distinct hitter;network packet;network processing unit;network router;security attack;ternary content addressable memory;worm attack,,2,,18,,,25-27 June 2007,,IEEE,IEEE Conference Publications,
Improving Software Performance and Reliability with an Architecture-Based Self-Adaptive Framework,Xu Zhang; Chung-Horng Lung,"Dept. of Syst. & Comput. Eng., Carleton Univ., Ottawa, ON, Canada","Computer Software and Applications Conference (COMPSAC), 2010 IEEE 34th Annual",20101230,2010,,,72,81,"Modern computer systems for distributed service computing become highly complex and difficult to manage. A self-adaptive approach that integrates monitoring, analyzing, and actuation functionalities has the potential to accommodate to a dynamically changing environment. The main objective of this paper is to develop an architecture-based self-adaptive framework to improve performance and resource efficiency of a server while maintaining reliable services. The target problem is distributed and concurrent systems. This paper proposes a Self-Adaptive Framework for Concurrency Architecture (SAFCA) that includes multiple concurrency architectural patterns or alternatives. The framework has monitoring and managing capabilities that can invoke another architectural alternative at run-time to cope with increasing demands or for reliability purpose. Two control mechanisms have been developed: SAFCA-Q and SAFCA-R. With SAFCA-Q, the system does not need to be statically configured for the highest workloads; hence, resource usage becomes more efficient in normal conditions and the system still is able to handle busty demands. SAFCA-R is used to improve reliability in the case of a failure by conducting a switchover to another software architecture. Experiment results demonstrate that the performance of SAFCA-Q is better than systems using only standalone concurrency architecture and resources are also better utilized. SAFCA-R also shows fast recovery in the face of a failure.",0730-3157,978-1-4244-7512-4,978-0-7695-4085-6,10.1109/COMPSAC.2010.68,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5676339,autonomic computing;distributed and concurrent architecture;performance;reliability;software architecture,Computer architecture;Concurrent computing;Instruction sets;Lead;Monitoring;Reliability;Servers,distributed processing;fault tolerant computing;software architecture;software maintenance;software performance evaluation;software reliability,SAFCA-Q;SAFCA-R;architecture based selfadaptive framework;computer system;concurrency architectural pattern;distributed service computing;distributed system;dynamically changing environment;reliable service maintainance;resource efficiency;resource usage;software architecture;software performance;software reliability,,0,,18,,,19-23 July 2010,,IEEE,IEEE Conference Publications,
A performance model to Cooperative Itinerant Agents (CIA): a security scheme to IDS,"Paez, R.; Satizabal, C.; Forne, J.","Dept. of Telematics Eng., Tech. Univ. of Catalonia, Barcelona","Availability, Reliability and Security, 2007. ARES 2007. The Second International Conference on",20070423,2007,,,791,798,"Intrusion detection systems (IDS) based on autonomous agents are important security tools to protect distributed networks and they can be considered critical systems. For this reason; we have proposed a security scheme to verify the entities' integrity inside the IDS architecture named cooperative itinerant agent (CIA). The proposal includes software watermarking and fingerprinting techniques. Moreover, in this paper we infer a formula to calculate the time consumed by a CIA to perform entities' verification in a determined level of the infrastructure in order to evaluate the agent's scalability. The parameters of this formula are the network's throughput and delay",,0-7695-2775-2,,10.1109/ARES.2007.13,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4159876,,Autonomous agents;Computer architecture;Fingerprint recognition;Intrusion detection;Performance evaluation;Proposals;Protection;Scalability;Security;Watermarking,multi-agent systems;security of data;watermarking,autonomous agents;cooperative itinerant agents;critical systems;distributed networks;entity verification;fingerprinting;intrusion detection systems;security;software watermarking,,0,,20,,,10-13 April 2007,,IEEE,IEEE Conference Publications,
Evasive bots masquerading as human beings on the web,"Jing Jin; Offutt, J.; Nan Zheng; Feng Mao; Koehl, A.; Haining Wang","George Mason Univ., Fairfax, VA, USA","Dependable Systems and Networks (DSN), 2013 43rd Annual IEEE/IFIP International Conference on",20130808,2013,,,1,12,"Web bots such as crawlers are widely used to automate various online tasks over the Internet. In addition to the conventional approach of human interactive proofs such as CAPTCHAs, a more recent approach of human observational proofs (HOP) has been developed to automatically distinguish web bots from human users. Its design rationale is that web bots behave intrinsically differently from human beings, allowing them to be detected. This paper escalates the battle against web bots by exploring the limits of current HOP-based bot detection systems. We develop an evasive web bot system based on human behavioral patterns. Then we prototype a general web bot framework and a set of flexible de-classifier plugins, primarily based on application-level event evasion. We further abstract and define a set of benchmarks for measuring our system's evasion performance on contemporary web applications, including social network sites. Our results show that the proposed evasive system can effectively mimic human behaviors and evade detectors by achieving high similarities between human users and evasive bots.",1530-0889,978-1-4673-6471-3,,10.1109/DSN.2013.6575366,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6575366,Web security;bot;human observation proofs;machine learning,Servers,Internet;data mining;security of data;social networking (online),CAPTCHA;HOP-based bot detection systems;Internet;Web applications;application-level event evasion;crawlers;evasive Web bot system;flexible declassifier plugins;general Web bot framework;human behavioral patterns;human interactive proof approach;human observational proofs;online task automation;social network sites;system evasion performance,,0,,25,,,24-27 June 2013,,IEEE,IEEE Conference Publications,
An intrusion detection tool for AODV-based ad hoc wireless networks,"Vigna, Giovanni; Gwalani, S.; Srinivasan, K.; Belding-Royer, E.M.; Kemmerer, R.A.","Dept. of Comput. Sci., California Univ., Santa Barbara, CA, USA","Computer Security Applications Conference, 2004. 20th Annual",20050117,2004,,,16,27,"Mobile ad hoc network routing protocols are highly susceptible to subversion. Previous research in securing these protocols has typically used techniques based on encryption and redundant transmission. These techniques prevent a range of attacks against routing protocols but are expensive to deploy on energy-constrained wireless devices. Experience in securing wired networks has demonstrated that, in addition to intrusion prevention techniques, it is useful to deploy intrusion detection techniques as a second line of defense. In this paper, we discuss some of the threats to wireless ad hoc networks, and, specifically, some attacks against the AODV routing protocol. We also present a tool aimed at real-time detection of these attacks. The tool monitors network packets to detect local and distributed attacks within its radio range. Experiments show that the tool provides effective intrusion detection functionality while using only a limited amount of resources.",1063-9527,0-7695-2252-1,,10.1109/CSAC.2004.6,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1377212,,Ad hoc networks;Communication system security;Computational modeling;Computer science;Cryptography;Intrusion detection;Mobile ad hoc networks;Network topology;Routing protocols;Wireless networks,ad hoc networks;mobile computing;routing protocols;security of data;telecommunication security,AODV routing protocol;intrusion detection tool;mobile ad hoc wireless networks,,36,3,24,,,6-10 Dec. 2004,,IEEE,IEEE Conference Publications,
Model-based fault Diagnosis for IEEE 802.11 wireless LANs,Bo Yan; Guanling Chen,"Dept. of Comput. Sci., Univ. of Massachusetts Lowell, Lowell, MA, USA","Mobile and Ubiquitous Systems: Networking & Services, MobiQuitous, 2009. MobiQuitous '09. 6th Annual International",20091110,2009,,,1,10,"The increasingly deployed IEEE 802.11 wireless LANs (WLANs) challenge traditional network management systems because of the shared open medium and the varying channel conditions. There needs to be an automated tool that can help diagnosing both malicious security faults and benign performance faults. It is often difficult, however, to identify the root causes since the manifesting anomalies from network measurements are highly interrelated. In this paper we present a novel approach, called <i>MOdel-based self-Diagnosis</i> (MODI), for fault detection and localization. Our solution consists of Structural and Behavioral Model (SBM) that is constructed using both <i>structural</i> causality from wireless protocol specifications and <i>behavioral</i> statistics from network measurements. We use logic-based backward reasoning to automate fault detection and localization based on SBM, by comparing observed network measurements with expected network behaviors and by tracing back causality structures. The reasoning algorithm and the model description are decoupled so a SBM model can be easily updated for varying WLAN configurations and changing network conditions. Compared to previous work, the contribution of this paper is the architecture and the algorithm of the diagnosis core, rather than the WLAN measurement techniques. We built and deployed MODI-embedded wireless APs that can detect both security attacks and troubleshoot performance problems. These MODI-enabled APs can also cooperate to diagnose cross-AP problems, such as those caused by device mobility. The evaluation results demonstrate that the proposed model-based diagnosis is fast and effective with little overhead.",,978-963-9799-59-2,,10.4108/ICST.MOBIQUITOUS2009.6833,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5326395,,Communication system security;Computer network management;Computer science;Fault detection;Fault diagnosis;MODIS;Measurement techniques;Statistics;Wireless LAN;Wireless application protocol,fault diagnosis;inference mechanisms;wireless LAN,IEEE 802.11;WLAN measurement techniques;device mobility;fault detection;fault localization;logic-based backward reasoning;malicious security faults;model-based fault diagnosis;model-based self-diagnosis;network management systems;security attacks;troubleshoot performance problems;wireless LAN;wireless protocol specifications,,3,,34,,,13-16 July 2009,,IEEE,IEEE Conference Publications,
Hybrid security architecture for data center networks,"Ho-Yu Lam; Song Zhao; Kang Xi; Chao, H.J.","Dept. of Electr. & Comput. Eng., New York Univ., Brooklyn, NY, USA","Communications (ICC), 2012 IEEE International Conference on",20121129,2012,,,2939,2944,"Security is critical to data centers, especially multi-tenant data centers that host a variety of applications in a single facility. Conventional schemes place security devices (middleboxes) at a few choke points (e.g., core routers) and rely on routing policy to guarantee middlebox traversal. Coupling routing and security services together complicates operation and troubleshooting since routing and security are operated by different teams. When a data center scales, the security system needs upgrade accordingly. However, the current approaches are not flexible and incur high cost. Observing that rich computing resources are already available in data centers, we are interested in using a large number of software middleboxes to achieve scalability and cost efficiency. We present Hybrid Security Architecture (HSA), a design to decouple security services from routing and to allow the integration of hardware and software middleboxes in a complementary way. HSA is more cost-effective and flexible compared to the conventional schemes that solely use hardware middleboxes. It allows topology and routing changes with minimal impact to security services, and vice versa. In particular, HSA does not require modification to switches and routers. This paper explains the framework of HSA, describes the key techniques, presents a testbed to validate the design, and discusses future research directions.",1550-3607,978-1-4577-2052-9,978-1-4577-2051-2,10.1109/ICC.2012.6364521,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6364521,,Hardware;Middleboxes;Routing;Scalability;Security;Servers;Software,computer centres;computer network security;telecommunication network routing;telecommunication network topology,HSA;choke points;core routers;coupling routing;data center networks;guarantee middle box traversal;hybrid security architecture;multitenant data centers;place security devices;routing policy;security services;security system;software middleboxes;switches,,1,,18,,,10-15 June 2012,,IEEE,IEEE Conference Publications,
IRSS: Incident Response Support System,"Capuzzi, G.; Spalazzi, L.; Pagliarecci, F.","Universita Politecnica delle Marche, Italy","Collaborative Technologies and Systems, 2006. CTS 2006. International Symposium on",20060626,2006,,,81,88,"Computer and network security can be improved by three kinds of tools: tools for intrusion prevention, tools for intrusion detection, and tools for incident response. Several systems have been proposed and developed for the first two kinds of tools. Concerning the third, as far as we know, the response is still left to the system administrator: no automatic tools have been developed. Indeed, even if forensic analysis and data recovery tools there exist, we do not yet have a comprehensive tool which includes log correlation, attack classification, and response plan generation. This paper presents IRSS, an Incident Response Support System that correlates events in order to classify attacks, looks in a knowledge base for past attacks similar to the current one (according to given similarity metrics), and reuses the past responses (adapted to the current attack) in order to restore the normal conditions and improve the network security.",,0-9785699-0-3,,10.1109/CTS.2006.55,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1644119,Alert Correlation;Framework for Security;Incident;Intrusion and Attack detection;Response,Computer networks;Computer security;Data analysis;Event detection;Feedback;Floods;Forensics;Information security;Intrusion detection;Operating systems,,Alert Correlation;Framework for Security;Incident;Intrusion and Attack detection;Response,,1,,28,,,14-17 May 2006,,IEEE,IEEE Conference Publications,
eXpert-BSM: a host-based intrusion detection solution for Sun Solaris,"Lindqvist, U.; Porras, P.A.","Syst. Design Lab., SRI Int., Menlo Park, CA, USA","Computer Security Applications Conference, 2001. ACSAC 2001. Proceedings 17th Annual",20020807,2001,,,240,251,"eXpert-BSM is a real time forward-reasoning expert system that analyzes Sun Solaris audit trails. Based on many years of intrusion detection research, eXpert-BSM's knowledge base detects a wide range of specific and general forms of misuse, provides detailed reports and recommendations to the system operator, and has a low false-alarm rate. Host-based intrusion detection offers the ability to detect misuse and subversion through the direct monitoring of processes inside the host, providing an important complement to network-based surveillance. Suites of eXpert-BSMs may be deployed throughout a network, and their alarms managed, correlated, and acted on by remote or local subscribing security services, thus helping to address issues of decentralized management. Inside the host, eXpert-BSM is intended to operate as a true security daemon for host systems, consuming few CPU cycles and very little memory and secondary storage. eXpert-BSM has been available for download on the Internet since April 2000, and has been successfully deployed in several production environments.",,0-7695-1405-7,,10.1109/ACSAC.2001.991540,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=991540,,Data security;Electronic switching systems;Expert systems;Intrusion detection;Laboratories;Remote monitoring;Secure storage;Sun;Surveillance;Trademarks,computer network management;expert systems;network operating systems;security of data;system monitoring,Internet;Sun Solaris;audit trails;decentralized management;eXpert-BSM;host-based intrusion detection;knowledge base;misuse;real time forward-reasoning expert system;security daemon;security services;system operator,,6,35,23,,,10-14 Dec. 2001,,IEEE,IEEE Conference Publications,
Analysis of Network Communication Attacks,"Kamal, S.; Issac, B.","Univ. of Technol., Kuching","Research and Development, 2007. SCOReD 2007. 5th Student Conference on",20080215,2007,,,1,6,"Over the last decade, computer networks have been subject to widespread security attacks. Some are spoofing attacks, Denial of service (DoS) attacks and its various forms (like ping attacks, smurfing etc), password sniffing, packet capturing along with traffic analysis and other wireless key cracking attacks. Many of these attacks steal someone's identity and use it for exploiting the victim or others by masquerading or forgery, made the network or computer system inoperable by interrupting normal services, created a back door for re-visits etc. In this paper we analyze some of these attacks and evaluate its effectiveness, concluding with some security recommendations.",,978-1-4244-1469-7,978-1-4244-1470-3,10.1109/SCORED.2007.4451370,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4451370,DoS attacks;network security attacks;packet capture;spoofing attacks,Broadcasting;Computer crime;Computer networks;Computer security;IP networks;Information security;Intrusion detection;Protocols;TCPIP;Telecommunication traffic,computer networks;security of data;telecommunication security,computer networks;denial of service attacks;network communication attack analysis;packet capturing;password sniffing;spoofing attacks;traffic analysis;widespread security attacks;wireless key cracking attacks,,0,,11,,,12-11 Dec. 2007,,IEEE,IEEE Conference Publications,
Wavelet Traffic Detection Based on Variance,Zhang Yi; Mei Ting,"Sch. of Humanities & Inf. Manage., Chengdu Med. Coll., Chengdu, China","Measuring Technology and Mechatronics Automation (ICMTMA), 2015 Seventh International Conference on",20150914,2015,,,1403,1406,"This paper introduces in detail the realization principle and detection module, anomaly detection technology based on wavelet transform, the experimental results show that it is a effective method to detect traffic anomaly. But also can distinguish normal burst traffic and attack traffic, which improves the accuracy of alarm. But this method lower time complexity is also suitable for large flow of data processing.",,978-1-4673-7142-1,,10.1109/ICMTMA.2015.348,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7263838,wavelet; transform; model of traffic; anomaly; detection,Bandwidth;Data models;Internet;Telecommunication traffic;Wavelet analysis;Wavelet transforms,computational complexity;security of data;telecommunication traffic;wavelet transforms,anomaly detection technology;attack traffic;data processing;detection module;normal burst traffic;realization principle;time complexity;variance;wavelet traffic detection;wavelet transform,,,,9,,,13-14 June 2015,,IEEE,IEEE Conference Publications,
Multipath-Based Secure Routing Algorithm for Sensor Network,Ping Li; Jin Zhang; Ya-ping Lin,"Sch. of Comput. & Telecommun. Eng., Changsha Univ. of Sci. & Technol.","Intelligent Control and Automation, 2006. WCICA 2006. The Sixth World Congress on",20061023,2006,1,,4133,4136,"Limited resources in sensor make it very hard to assure security. Based on suitable encrypting algorithm and effective method to construct multi-path, a secure routing algorithm is proposed. The algorithm synthesizes encryption algorithm and key distribution strategy to encrypt data and provide the security. Based on these, multi-path is constructed and used to validate reciprocally the data forwarded by different path. Simulating experiments show that the algorithm has good performance",,1-4244-0332-4,,10.1109/WCICA.2006.1713152,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1713152,multi-path;routing;security;sensor network,Biomedical engineering;Biosensors;Cryptography;Data security;Information security;Network synthesis;Routing;Scattering;Sensor phenomena and characterization;Sensor systems,computer networks;cryptography;telecommunication network routing;wireless sensor networks,encryption algorithm;key distribution strategy;multipath-based secure routing algorithm;sensor network,,1,,13,,,0-0 0,,IEEE,IEEE Conference Publications,
